"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","reps_group","reps_all","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type"
"245","7382kwtue","P3","146","ixn","happiness",01:09:07,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","corruption_confidence_hover_pan_zoom_color_freedomQ_separate_encoding_scatter_bigger_7382kwtuehappiness,",01:09:07,01:02:50,01:26:40,23.8,1430,377,377,FALSE,"scatterplot","scatterplot","CHART"
"246","7382kwtue","P3","133","ixn","happiness",01:09:15,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","corruption_confidence_hover_pan_zoom_color_generosityQ_separate_encoding_scatter_7382kwtuehappiness,",01:09:15,01:02:50,01:26:40,23.8,1430,385,385,FALSE,"scatterplot","scatterplot","CHART"
"247","7382kwtue","P3","125","ixn","happiness",01:09:55,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_2_7382kwtuehappiness,",01:09:55,01:02:50,01:26:40,23.8,1430,425,425,FALSE,"scatterplot","scatterplot","CHART"
"248","7382kwtue","P3","129","ixn","happiness",01:10:11,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_3_7382kwtuehappiness,",01:10:11,01:02:50,01:26:40,23.8,1430,441,441,FALSE,"scatterplot","scatterplot","CHART"
"249","7382kwtue","P3","158","ixn","happiness",01:10:43,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"scatterplot","positiveAffect_corruption_hover_pan_zoom_encode_scatter_7382kwtuehappiness,",01:10:43,01:02:50,01:26:40,23.8,1430,473,473,FALSE,"scatterplot","scatterplot","CHART"
"250","7382kwtue","P3","139","ixn","happiness",01:12:54,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"scatterplot","positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_7382kwtuehappiness,",01:12:54,01:02:50,01:26:40,23.8,1430,604,604,FALSE,"scatterplot","scatterplot","CHART"
"251","7382kwtue","P3","140","ixn","happiness",01:14:48,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"scatterplot","positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness,",01:14:48,01:02:50,01:26:40,23.8,1430,718,718,FALSE,"scatterplot","scatterplot","CHART"
"252","7382kwtue","P3","132","ixn","happiness",01:15:16,"TRUE","PROCESS","representation comment","relationship (multivariate)
",FALSE,"scatterplot","positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness,",01:15:16,01:02:50,01:26:40,23.8,1430,746,746,FALSE,"scatterplot","scatterplot","CHART"
"253","7382kwtue","P3","130","ixn","happiness",01:17:45,"TRUE","RELATIONSHIP","relationship existence / non-existence","relationship (multivariate)
",FALSE,"scatterplot","positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness,",01:17:45,01:02:50,01:26:40,23.8,1430,895,895,FALSE,"scatterplot","scatterplot","CHART"
"254","7382kwtue","P3","156","ixn","happiness",01:20:53,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"multiviewchart","affect_corruption_brush_7382kwtuehappiness, country_count_plot_7382kwtuehappiness,",01:20:53,01:02:50,01:26:40,23.8,1430,1083,1083,FALSE,"multiviewchart","multi-view chart","CHART"
"255","7382kwtue","P3","143","ixn","happiness",01:21:19,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"multiviewchart","affect_corruption_brush_7382kwtuehappiness, country_count_plot_7382kwtuehappiness,",01:21:19,01:02:50,01:26:40,23.8,1430,1109,1109,FALSE,"multiviewchart","multi-view chart","CHART"
"256","7382kwtue","P3","161","ixn","happiness",01:22:16,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","socialSupport_freedom_posAffect_7382kwtuehappiness,",01:22:16,01:02:50,01:26:40,23.8,1430,1166,1166,FALSE,"scatterplot","scatterplot","CHART"
"257","7382kwtue","P3","134","ixn","happiness",01:24:13,"FALSE","DATASET","data orientation",NA,FALSE,"python","create_aretheypositive_col_axis_7382kwtuehappiness,",01:24:13,01:02:50,01:26:40,23.8,1430,1283,1283,FALSE,"python","CODE","CODE"
"258","7382kwtue","P3","150","ixn","happiness",01:24:18,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",TRUE,"scatterplot","socialSupport_freedom_aretheypositive_7382kwtuehappiness, create_aretheypositive_col_axis_7382kwtuehappiness,",01:24:18,01:02:50,01:26:40,23.8,1430,1288,1288,FALSE,"scatterplot","scatterplot","CHART"
"259","7382kwtue","P3","155","ixn","happiness",01:26:40,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"none",NA,01:26:40,01:02:50,01:26:40,23.8,1430,1430,1430,FALSE,"none","NONE","NONE"
"432","E1D39056","P1","338","static","space",00:10:22,"FALSE","DATASET","variable metadata",NA,FALSE,"columns","df_columns_E1D39056space, data_dictionary,",00:10:22,00:10:22,00:30:11,19.8,1189,0,0,TRUE,"columns","TABLE","CODE"
"432","E1D39056","P1","338","static","space",00:10:22,"FALSE","DATASET","variable metadata",NA,FALSE,"dictionary","df_columns_E1D39056space, data_dictionary,",00:10:22,00:10:22,00:30:11,19.8,1189,0,0,TRUE,"dictionary","TABLE","CODE"
"433","E1D39056","P1","335","static","space",00:17:03,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"python","VIP_transported_cov_filled_E1D39056space,",00:17:03,00:10:22,00:30:11,19.8,1189,401,401,FALSE,"python","CODE","CODE"
"434","E1D39056","P1","328","static","space",00:19:29,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X categorical)",FALSE,"dataframe","homePlanet_transported_crosstab_E1D39056space,",00:19:29,00:10:22,00:30:11,19.8,1189,547,547,FALSE,"dataframe","TABLE","CODE"
"435","E1D39056","P1","331","static","space",00:19:34,"FALSE","DATASET","missing data",NA,FALSE,"profile","alx_profile_not_transported_E1D39056space,",00:19:34,00:10:22,00:30:11,19.8,1189,552,552,FALSE,"profile","profile","CHART"
"436","E1D39056","P1","329","static","space",00:21:15,"FALSE","PROCESS","representation comment",NA,FALSE,"profile","alx_profile_not_transported_E1D39056space,",00:21:15,00:10:22,00:30:11,19.8,1189,653,653,FALSE,"profile","profile","CHART"
"437","E1D39056","P1","327","static","space",00:22:06,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"dataframe","cryoSleep_transported_crosstab_E1D39056space,",00:22:06,00:10:22,00:30:11,19.8,1189,704,704,FALSE,"dataframe","TABLE","CODE"
"438","E1D39056","P1","322","static","space",00:22:49,"FALSE","PROCESS","representation comment",NA,FALSE,"profile","alx_profile_not_transported_E1D39056space,",00:22:49,00:10:22,00:30:11,19.8,1189,747,747,FALSE,"profile","profile","CHART"
"439","E1D39056","P1","324","static","space",00:26:07,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"dataframe","spent_any_transported_crosstab_E1D39056space,",00:26:07,00:10:22,00:30:11,19.8,1189,945,945,FALSE,"dataframe","TABLE","CODE"
"440","E1D39056","P1","334","static","space",00:30:11,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"hist","S_P_transported_hist_repeat_E1D39056space,",00:30:11,00:10:22,00:30:11,19.8,1189,1189,1189,FALSE,"hist","histogram","CHART"
"441","E1D39056","P1","323","ixn","happiness",00:45:35,"FALSE","PROCESS","plan of action",NA,FALSE,"profile","profile_df_E1D39056happiness,",00:45:35,00:45:35,01:11:40,26.1,1565,0,0,FALSE,"profile","profile","CHART"
"442","E1D39056","P1","333","ixn","happiness",00:46:21,"FALSE","PROCESS","representation comment",NA,FALSE,"profile","profile_df_any_na_E1D39056happiness,",00:46:21,00:45:35,01:11:40,26.1,1565,46,46,FALSE,"profile","profile","CHART"
"443","E1D39056","P1","320","ixn","happiness",00:49:57,"FALSE","PROCESS","plan of action",NA,FALSE,"none",NA,00:49:57,00:45:35,01:11:40,26.1,1565,262,262,FALSE,"none","NONE","NONE"
"444","E1D39056","P1","332","ixn","happiness",00:50:26,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","gov_confidence_corruption_jointplot_E1D39056happiness,",00:50:26,00:45:35,01:11:40,26.1,1565,291,291,FALSE,"scatterplot","scatterplot","CHART"
"445","E1D39056","P1","330","ixn","happiness",00:52:48,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","tooltip_positive_support_jointplot_E1D39056happiness,",00:52:48,00:45:35,01:11:40,26.1,1565,433,433,FALSE,"scatterplot","scatterplot","CHART"
"446","E1D39056","P1","337","ixn","happiness",00:53:00,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (continuous X continuous)",FALSE,"scatterplot","tooltip_positive_negative_jointplot_E1D39056happiness,",00:53:00,00:45:35,01:11:40,26.1,1565,445,445,FALSE,"scatterplot","scatterplot","CHART"
"447","E1D39056","P1","321","ixn","happiness",00:55:31,"FALSE","PROCESS","representation comment",NA,FALSE,"pairplot","pairplot_df_E1D39056happiness,",00:55:31,00:45:35,01:11:40,26.1,1565,596,596,FALSE,"pairplot","pairplot","CHART"
"448","E1D39056","P1","326","ixn","happiness",00:57:59,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"pairplot","pairplot_df_E1D39056happiness,",00:57:59,00:45:35,01:11:40,26.1,1565,744,744,FALSE,"pairplot","pairplot","CHART"
"449","E1D39056","P1","318","ixn","happiness",00:58:08,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"pairplot","pairplot_df_E1D39056happiness,",00:58:08,00:45:35,01:11:40,26.1,1565,753,753,FALSE,"pairplot","pairplot","CHART"
"450","E1D39056","P1","319","ixn","happiness",00:59:06,"TRUE","PROCESS","representation comment",NA,FALSE,"pairplot","subset_columns_assignment_yearfilter_pairplot_E1D39056happiness,",00:59:06,00:45:35,01:11:40,26.1,1565,811,811,FALSE,"pairplot","pairplot","CHART"
"451","E1D39056","P1","325","ixn","happiness",00:59:46,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"pairplot","subset_columns_assignment_yearfilter_pairplot_E1D39056happiness,",00:59:46,00:45:35,01:11:40,26.1,1565,851,851,FALSE,"pairplot","pairplot","CHART"
"452","E1D39056","P1","316","ixn","happiness",01:00:28,"TRUE","PROCESS","representation comment",NA,FALSE,"pairplot","subset_columns_assignment_yearfilter_pairplot_E1D39056happiness,",01:00:28,00:45:35,01:11:40,26.1,1565,893,893,FALSE,"pairplot","pairplot","CHART"
"453","E1D39056","P1","317","ixn","happiness",01:11:00,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"pairplot","subset_columns_assignment_yearfilter_pairplot_E1D39056happiness,",01:11:00,00:45:35,01:11:40,26.1,1565,1525,1525,FALSE,"pairplot","pairplot","CHART"
"454","E1D39056","P1","336","ixn","happiness",01:11:40,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"pairplot","subset_columns_assignment_yearfilter_pairplot_E1D39056happiness,",01:11:40,00:45:35,01:11:40,26.1,1565,1565,1565,FALSE,"pairplot","pairplot","CHART"
"455","8v892iige","P11","224","static","space",00:31:26,"FALSE","PROCESS","representation comment",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:31:26,00:31:26,00:46:56,15.5,930,0,0,FALSE,"dataframe","TABLE","CODE"
"456","8v892iige","P11","223","static","space",00:31:45,"FALSE","DATASET","variable metadata",NA,TRUE,"dataframe","load_data_and_head_8v892iigespace,",00:31:45,00:31:26,00:46:56,15.5,930,19,19,FALSE,"dataframe","TABLE","CODE"
"457","8v892iige","P11","209","static","space",00:32:54,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:32:54,00:31:26,00:46:56,15.5,930,88,88,FALSE,"dataframe","TABLE","CODE"
"458","8v892iige","P11","203","static","space",00:33:12,"FALSE","PROCESS","plan of action",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:33:12,00:31:26,00:46:56,15.5,930,106,106,FALSE,"dataframe","TABLE","CODE"
"459","8v892iige","P11","229","static","space",00:33:35,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:33:35,00:31:26,00:46:56,15.5,930,129,129,FALSE,"dataframe","TABLE","CODE"
"460","8v892iige","P11","197","static","space",00:33:42,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:33:42,00:31:26,00:46:56,15.5,930,136,136,FALSE,"dataframe","TABLE","CODE"
"461","8v892iige","P11","217","static","space",00:34:02,"FALSE","DATASET","data provenance",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:34:02,00:31:26,00:46:56,15.5,930,156,156,FALSE,"dataframe","TABLE","CODE"
"462","8v892iige","P11","214","static","space",00:34:18,"FALSE","RELATIONSHIP","relationship strength and/or direction",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:34:18,00:31:26,00:46:56,15.5,930,172,172,FALSE,"dataframe","TABLE","CODE"
"463","8v892iige","P11","234","static","space",00:34:37,"FALSE","RELATIONSHIP","relationship range constriction",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:34:37,00:31:26,00:46:56,15.5,930,191,191,FALSE,"dataframe","TABLE","CODE"
"464","8v892iige","P11","191","static","space",00:35:48,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose_8v892iigespace,",00:35:48,00:31:26,00:46:56,15.5,930,262,262,FALSE,"describe","TABLE","CODE"
"465","8v892iige","P11","226","static","space",00:36:05,"FALSE","DATASET","data size",NA,FALSE,"describe","df_describe_transpose_8v892iigespace,",00:36:05,00:31:26,00:46:56,15.5,930,279,279,FALSE,"describe","TABLE","CODE"
"466","8v892iige","P11","228","static","space",00:36:11,"FALSE","DATASET","missing data",NA,TRUE,"describe","df_describe_transpose_8v892iigespace,",00:36:11,00:31:26,00:46:56,15.5,930,285,285,FALSE,"describe","TABLE","CODE"
"467","8v892iige","P11","210","static","space",00:36:32,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:36:32,00:31:26,00:46:56,15.5,930,306,306,FALSE,"dataframe","TABLE","CODE"
"468","8v892iige","P11","218","static","space",00:38:15,"FALSE","DATASET","variable metadata",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:38:15,00:31:26,00:46:56,15.5,930,409,409,FALSE,"dataframe","TABLE","CODE"
"469","8v892iige","P11","205","static","space",00:38:43,"FALSE","DATASET","missing data",NA,FALSE,"describe","VIP_describe_8v892iigespace,",00:38:43,00:31:26,00:46:56,15.5,930,437,437,FALSE,"describe","TABLE","CODE"
"470","8v892iige","P11","219","static","space",00:39:14,"FALSE","DATASET","missing data",NA,FALSE,"describe","roomService_describe_8v892iigespace,",00:39:14,00:31:26,00:46:56,15.5,930,468,468,FALSE,"describe","TABLE","CODE"
"471","8v892iige","P11","202","static","space",00:39:33,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","roomService_describe_8v892iigespace, load_data_and_head_8v892iigespace, df_describe_transpose_8v892iigespace,",00:39:33,00:31:26,00:46:56,15.5,930,487,487,TRUE,"dataframe","TABLE","CODE"
"471","8v892iige","P11","202","static","space",00:39:33,"FALSE","DATASET","missing data",NA,FALSE,"describe","roomService_describe_8v892iigespace, load_data_and_head_8v892iigespace, df_describe_transpose_8v892iigespace,",00:39:33,00:31:26,00:46:56,15.5,930,487,487,TRUE,"describe","TABLE","CODE"
"472","8v892iige","P11","194","static","space",00:39:40,"FALSE","DATASET","missing data",NA,FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:39:40,00:31:26,00:46:56,15.5,930,494,494,FALSE,"dataframe","TABLE","CODE"
"474","8v892iige","P11","233","static","space",00:42:06,"FALSE","DATASET","missing data","distribution (categorical)",FALSE,"profile","profile_df_VIP_8v892iigespace,",00:42:06,00:31:26,00:46:56,15.5,930,640,640,FALSE,"profile","profile","CHART"
"475","8v892iige","P11","201","static","space",00:43:00,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"profile","profile_df_roomService_8v892iigespace,",00:43:00,00:31:26,00:46:56,15.5,930,694,694,FALSE,"profile","profile","CHART"
"476","8v892iige","P11","208","static","space",00:43:07,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"dataframe","load_data_and_head_8v892iigespace,",00:43:07,00:31:26,00:46:56,15.5,930,701,701,FALSE,"dataframe","TABLE","CODE"
"477","8v892iige","P11","204","static","space",00:43:25,"FALSE","DATASET","missing data",NA,FALSE,"double-profiler","profile_df_VIP_8v892iigespace, profile_df_roomService_8v892iigespace,",00:43:25,00:31:26,00:46:56,15.5,930,719,719,FALSE,"double-profiler","profile","CHART"
"478","8v892iige","P11","200","static","space",00:44:25,"FALSE","DATASET","missing data",NA,FALSE,"profile","fillna_VIP_median_profile_8v892iigespace,",00:44:25,00:31:26,00:46:56,15.5,930,779,779,FALSE,"profile","profile","CHART"
"479","8v892iige","P11","199","static","space",00:46:56,"FALSE","VARIABLE","distribution range [min, max]","distribution  (continuous)",FALSE,"describe","df_describe_transpose_8v892iigespace,",00:46:56,00:31:26,00:46:56,15.5,930,930,930,FALSE,"describe","TABLE","CODE"
"480","8v892iige","P11","216","ixn","happiness",01:02:53,"FALSE","DATASET","variable metadata",NA,TRUE,"dataframe","load_happiness_csv_head_8v892iigehappiness,",01:02:53,01:02:53,01:22:01,19.1,1148,0,0,FALSE,"dataframe","TABLE","CODE"
"481","8v892iige","P11","221","ixn","happiness",01:04:49,"FALSE","PROCESS","representation comment","distribution  (continuous)",FALSE,"profile","profile_all_columns3_8v892iigehappiness,",01:04:49,01:02:53,01:22:01,19.1,1148,116,116,FALSE,"profile","profile","CHART"
"482","8v892iige","P11","215","ixn","happiness",01:04:56,"FALSE","VARIABLE","distribution range [min, max]","distribution  (continuous)",TRUE,"profile","profile_all_columns3_8v892iigehappiness,",01:04:56,01:02:53,01:22:01,19.1,1148,123,123,FALSE,"profile","profile","CHART"
"483","8v892iige","P11","211","ixn","happiness",01:05:04,"FALSE","DATASET","missing data",NA,FALSE,"profile","profile_all_columns3_8v892iigehappiness,",01:05:04,01:02:53,01:22:01,19.1,1148,131,131,FALSE,"profile","profile","CHART"
"485","8v892iige","P11","193","ixn","happiness",01:05:45,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:05:45,01:02:53,01:22:01,19.1,1148,172,172,FALSE,"describe","TABLE","CODE"
"486","8v892iige","P11","198","ixn","happiness",01:05:49,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:05:49,01:02:53,01:22:01,19.1,1148,176,176,FALSE,"describe","TABLE","CODE"
"487","8v892iige","P11","227","ixn","happiness",01:06:03,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:06:03,01:02:53,01:22:01,19.1,1148,190,190,FALSE,"describe","TABLE","CODE"
"488","8v892iige","P11","192","ixn","happiness",01:06:14,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:06:14,01:02:53,01:22:01,19.1,1148,201,201,FALSE,"describe","TABLE","CODE"
"489","8v892iige","P11","190","ixn","happiness",01:06:20,"FALSE","DATASET","missing data",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:06:20,01:02:53,01:22:01,19.1,1148,207,207,FALSE,"describe","TABLE","CODE"
"490","8v892iige","P11","213","ixn","happiness",01:06:25,"FALSE","DATASET","missing data",NA,TRUE,"describe","df_describe_transpose2_8v892iigehappiness,",01:06:25,01:02:53,01:22:01,19.1,1148,212,212,FALSE,"describe","TABLE","CODE"
"491","8v892iige","P11","195","ixn","happiness",01:06:37,"FALSE","VARIABLE","distribution range [min, max]","distribution  (continuous)",FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:06:37,01:02:53,01:22:01,19.1,1148,224,224,FALSE,"describe","TABLE","CODE"
"492","8v892iige","P11","222","ixn","happiness",01:08:40,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","scatterplot_GDP_happiness_8v892iigehappiness,",01:08:40,01:02:53,01:22:01,19.1,1148,347,347,FALSE,"scatterplot","scatterplot","CHART"
"493","8v892iige","P11","232","ixn","happiness",01:08:54,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","scatterplot_GDP_happiness_8v892iigehappiness,",01:08:54,01:02:53,01:22:01,19.1,1148,361,361,FALSE,"scatterplot","scatterplot","CHART"
"494","8v892iige","P11","231","ixn","happiness",01:10:10,"FALSE","PROCESS","plan of action",NA,FALSE,"scatterplot","scatterplot_GDP_happiness_8v892iigehappiness,",01:10:10,01:02:53,01:22:01,19.1,1148,437,437,FALSE,"scatterplot","scatterplot","CHART"
"495","8v892iige","P11","206","ixn","happiness",01:10:45,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","scatterplot_GDP_happiness_8v892iigehappiness,",01:10:45,01:02:53,01:22:01,19.1,1148,472,472,FALSE,"scatterplot","scatterplot","CHART"
"496","8v892iige","P11","220","ixn","happiness",01:14:56,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","scatterplot_lowCorruption_GDP_happiness_8v892iigehappiness,",01:14:56,01:02:53,01:22:01,19.1,1148,723,723,FALSE,"scatterplot","scatterplot","CHART"
"497","8v892iige","P11","212","ixn","happiness",01:15:32,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","scatterplot_highCorruption_GDP_happiness_8v892iigehappiness, scatterplot_lowCorruption_GDP_happiness_8v892iigehappiness,",01:15:32,01:02:53,01:22:01,19.1,1148,759,759,FALSE,"scatterplot","scatterplot","CHART"
"498","8v892iige","P11","196","ixn","happiness",01:15:48,"FALSE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"scatterplot","scatterplot_lowCorruption_GDP_happiness_8v892iigehappiness,",01:15:48,01:02:53,01:22:01,19.1,1148,775,775,FALSE,"scatterplot","scatterplot","CHART"
"499","8v892iige","P11","207","ixn","happiness",01:21:20,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:21:20,01:02:53,01:22:01,19.1,1148,1107,1107,FALSE,"describe","TABLE","CODE"
"500","8v892iige","P11","230","ixn","happiness",01:21:50,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:21:50,01:02:53,01:22:01,19.1,1148,1137,1137,FALSE,"describe","TABLE","CODE"
"501","8v892iige","P11","225","ixn","happiness",01:22:01,"FALSE","PROCESS","representation comment",NA,FALSE,"describe","df_describe_transpose2_8v892iigehappiness,",01:22:01,01:02:53,01:22:01,19.1,1148,1148,1148,FALSE,"describe","TABLE","CODE"
"2086","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","DATASET","variable metadata","relationship (categorical X continuous)",FALSE,"dictionary","dataframe_describe_j2719eertu2space, data_dictionary,",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"dictionary","TABLE","CODE"
"2086","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","DATASET","variable metadata","relationship (categorical X continuous)",FALSE,"describe","dataframe_describe_j2719eertu2space, data_dictionary,",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"describe","TABLE","CODE"
"2097","j2719eertu2","P5","487","static","space",00:30:04,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:30:04,00:19:57,00:42:35,22.6,1358,607,607,FALSE,"double-profiler","profile","CHART"
"2100","j2719eertu2","P5","433","static","space",00:35:10,"FALSE","PROCESS","plan of action","distribution  (continuous)",TRUE,"pairplot","pairplot_uppercaseColumns_j2719eertu2space,",00:35:10,00:19:57,00:42:35,22.6,1358,913,913,FALSE,"pairplot","pairplot","CHART"
"2140","j2719eertu2","P5","454","ixn","happiness",01:34:00,"TRUE","DATASET","data provenance",NA,FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:34:00,01:14:08,01:38:30,24.4,1462,1192,1192,FALSE,"multiviewchart","multi-view chart","CHART"
"2143","j2719eertu2","P5","462","ixn","happiness",01:35:29,"TRUE","DATASET","missing data","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:35:29,01:14:08,01:38:30,24.4,1462,1281,1281,FALSE,"multiviewchart","multi-view chart","CHART"
"2146","j2719eertu2","P5","473","ixn","happiness",01:36:27,"TRUE","PROCESS","plan of action","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness,",01:36:27,01:14:08,01:38:30,24.4,1462,1339,1339,FALSE,"multiviewchart","multi-view chart","CHART"
"2155","lkin27js09b","P7","553","static","space",00:24:14,"FALSE","PROCESS","plan of action",NA,FALSE,"dictionary","data_dictionary,",00:24:14,00:23:06,00:42:17,19.2,1151,68,68,FALSE,"dictionary","TABLE","CODE"
"2161","lkin27js09b","P7","557","static","space",00:27:12,"FALSE","DATASET","missing data",NA,FALSE,"python","df_print2_lkin27js09bspace,",00:27:12,00:23:06,00:42:17,19.2,1151,246,246,FALSE,"python","CODE","CODE"
"2164","lkin27js09b","P7","551","static","space",00:32:41,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"python","unique_val_count3_lkin27js09bspace,",00:32:41,00:23:06,00:42:17,19.2,1151,575,575,FALSE,"python","CODE","CODE"
"2175","lkin27js09b","P7","578","static","space",00:42:17,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"none",NA,00:42:17,00:23:06,00:42:17,19.2,1151,1151,1151,FALSE,"none","NONE","NONE"
"2176","lkin27js09b","P7","577","ixn","happiness",01:13:38,"FALSE","DATASET","variable metadata",NA,FALSE,"dictionary","data_dictionary,",01:13:38,01:13:38,01:37:49,24.2,1451,0,0,FALSE,"dictionary","TABLE","CODE"
"2177","lkin27js09b","P7","570","ixn","happiness",01:14:05,"FALSE","DATASET","variable metadata",NA,FALSE,"dictionary","data_dictionary,",01:14:05,01:13:38,01:37:49,24.2,1451,27,27,FALSE,"dictionary","TABLE","CODE"
