"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","utterance","reps_group","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type","rep_name"
"116","li832lin23","P8","528","static","space",00:14:28,"FALSE","DATASET","data orientation",NA,FALSE,"Survived is the outcome variable","dataframe",00:14:28,00:14:28,00:36:51,22.4,1343,0,0,FALSE,"dataframe","TABLE","CODE","display_head_dataframe_li832lin23space"
"117","li832lin23","P8","533","static","space",00:22:38,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"there is a like semi-normal – I'm not using that like a statistical distribution – that  like it's slightly skew to the – Oh, I cannot remember which one it is– right. which is, which has a slightly long tale to the right that is what i'm saying.","hist",00:22:38,00:14:28,00:36:51,22.4,1343,490,490,FALSE,"hist","histogram","CHART","log_transform_roomservice_hist_li832lin23space"
"118","li832lin23","P8","538","static","space",00:23:25,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"yeah, it looks very similar in terms of a shape.","hist",00:23:25,00:14:28,00:36:51,22.4,1343,537,537,FALSE,"hist","histogram","CHART","log_transform_foodcourt_hist_li832lin23space"
"119","li832lin23","P8","531","static","space",00:26:29,"FALSE","DATASET","missing data",NA,FALSE,"There are a bunch of nulls now.","barplot",00:26:29,00:14:28,00:36:51,22.4,1343,721,721,FALSE,"barplot","barplot","CHART","barplot_survived_homeplanet_7_li832lin23space"
"120","li832lin23","P8","499","static","space",00:26:40,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"Earth had more people who survived than Europa had – I mean proportionally.","barplot",00:26:40,00:14:28,00:36:51,22.4,1343,732,732,FALSE,"barplot","barplot","CHART","barplot_survived_homeplanet_7_li832lin23space"
"121","li832lin23","P8","523","static","space",00:27:59,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"Oh, this is very pronounced. People who weren't in cryosleep sleep were more likely to survive.","barplot",00:27:59,00:14:28,00:36:51,22.4,1343,811,811,FALSE,"barplot","barplot","CHART","barplot_survived_cryosleep_li832lin23space"
"122","li832lin23","P8","498","static","space",00:28:36,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"Canori E has proportionally fewer survivors.","barplot",00:28:36,00:14:28,00:36:51,22.4,1343,848,848,FALSE,"barplot","barplot","CHART","barplot_survived_destination_li832lin23space"
"123","li832lin23","P8","517","static","space",00:28:43,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"More than were going to TRAPPIST.","barplot",00:28:43,00:14:28,00:36:51,22.4,1343,855,855,FALSE,"barplot","barplot","CHART","barplot_survived_destination_li832lin23space"
"124","li832lin23","P8","534","static","space",00:32:16,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"There is no perceptible difference [discussing Age between survived and not survived]","stripplot",00:32:16,00:14:28,00:36:51,22.4,1343,1068,1068,FALSE,"stripplot","stripplot","CHART","stripplot_age_survived_2_li832lin23space"
"125","li832lin23","P8","506","static","space",00:32:59,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"I think maybe the VIP people survive a little more. It's hard to say, given the proportional difference.
","barplot",00:32:59,00:14:28,00:36:51,22.4,1343,1111,1111,FALSE,"barplot","barplot","CHART","barplot_survived_cryosleep_li832lin23space"
"126","li832lin23","P8","504","static","space",00:33:40,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"I guess people who survived well likely to spend more money in the Spa.","columns",00:33:40,00:14:28,00:36:51,22.4,1343,1152,1152,FALSE,"columns","TABLE","CODE","display_dataframe_columns_li832lin23space"
"127","li832lin23","P8","521","static","space",00:34:19,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X continuous)",FALSE,"Oh, there's no income variable is there. I guess the VIP variable is a proxy","dictionary",00:34:19,00:14:28,00:36:51,22.4,1343,1191,1191,FALSE,"dictionary","TABLE","CODE","data_dictionary"
"128","li832lin23","P8","508","static","space",00:34:39,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"I would say people who spend more money are more likely to survive,","stripplot",00:34:39,00:14:28,00:36:51,22.4,1343,1211,1211,FALSE,"stripplot","stripplot","CHART","stripplot_logroom_survived_li832lin23space"
"129","li832lin23","P8","515","static","space",00:34:44,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"maybe is also capturing things like the vip are maybe more likely to survive.","stripplot",00:34:44,00:14:28,00:36:51,22.4,1343,1216,1216,FALSE,"stripplot","stripplot","CHART","stripplot_logroom_survived_li832lin23space"
"130","li832lin23","P8","505","static","space",00:35:43,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"I mean, obviously the variables are correlated with the logs","heatmap",00:35:43,00:14:28,00:36:51,22.4,1343,1275,1275,FALSE,"heatmap","heatmap","CHART","heatmap_correlation_matrix_li832lin23space"
"131","li832lin23","P8","513","static","space",00:36:51,"FALSE","DATASET","missing data",NA,FALSE,"It's a much better data quality than most real data sets. So not many nulls.","python",00:36:51,00:14:28,00:36:51,22.4,1343,1343,1343,FALSE,"python","CODE","CODE","mean_isnull_li832lin23space"
"132","li832lin23","P8","514","ixn","happiness",01:02:57,"FALSE","DATASET","data provenance",NA,FALSE,"It's nice when they give you the log variables","dictionary",01:02:57,01:02:57,01:25:26,22.5,1349,0,0,FALSE,"dictionary","TABLE","CODE","data_dictionary"
"133","li832lin23","P8","495","ixn","happiness",01:03:15,"FALSE","DATASET","variable metadata",NA,FALSE,"[socialSupport] this one's a binary.","dictionary",01:03:15,01:02:57,01:25:26,22.5,1349,18,18,FALSE,"dictionary","TABLE","CODE","data_dictionary"
"134","li832lin23","P8","540","ixn","happiness",01:04:55,"FALSE","DATASET","variable metadata",NA,FALSE,"You know, I thought social support was supposed to be binary. Oh it was the national average.","profile",01:04:55,01:02:57,01:25:26,22.5,1349,118,118,FALSE,"profile","profile","CHART","df_profile_all_li832lin23happiness"
"135","li832lin23","P8","518","ixn","happiness",01:05:36,"FALSE","PROCESS","plan of action",NA,FALSE,"No, nothing looks especially interesting. So I guess this just means make a bunch of plots.","profile",01:05:36,01:02:57,01:25:26,22.5,1349,159,159,FALSE,"profile","profile","CHART","df_profile_all_li832lin23happiness"
"136","li832lin23","P8","507","ixn","happiness",01:06:14,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",TRUE,"I will just do a bunch of variable set of plots with happiness against the other variables, and then, when I want to break it out, I will, By country which is the only available form of categorization.","none",01:06:14,01:02:57,01:25:26,22.5,1349,197,197,FALSE,"none","NONE","NONE",NA
"137","li832lin23","P8","519","ixn","happiness",01:06:55,"FALSE","PROCESS","representation comment",NA,FALSE,"Oh, obviously I have to do this [make a correlation heatmap], but everyone does it all the time. Will it tell me anything? It will not. It never does.","heatmap",01:06:55,01:02:57,01:25:26,22.5,1349,238,238,FALSE,"heatmap","heatmap","CHART","corr_heatmap_li832lin23happiness"
"138","li832lin23","P8","532","ixn","happiness",01:08:50,"FALSE","PROCESS","representation comment",NA,FALSE,"There are interactive charts that people, people meaning me, just are clicking around and like ""cool. I have no analytical thought I'm just clicking things. ""","scatterplot",01:08:50,01:02:57,01:25:26,22.5,1349,353,353,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"139","li832lin23","P8","512","ixn","happiness",01:09:07,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"in general, happinessScore goes up with life expectancy","scatterplot",01:09:07,01:02:57,01:25:26,22.5,1349,370,370,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"140","li832lin23","P8","501","ixn","happiness",01:09:23,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"Haiti's life expectancy is this [tooltip present] like this is concerning me. I have to look at it.
","scatterplot",01:09:23,01:02:57,01:25:26,22.5,1349,386,386,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"141","li832lin23","P8","524","ixn","happiness",01:09:23,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"Okay, I mean, I guess it makes sense. But this is like constantly, you know, for a lower life expectancy. Okay. just very little life expectancy, not much happiness","scatterplot",01:09:23,01:02:57,01:25:26,22.5,1349,386,386,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"142","li832lin23","P8","497","ixn","happiness",01:09:50,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"But the general train is yeah, the longer you live the happier you are","scatterplot",01:09:50,01:02:57,01:25:26,22.5,1349,413,413,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"143","li832lin23","P8","503","ixn","happiness",01:09:56,"FALSE","PROCESS","representation comment","relationship (continuous X continuous)",FALSE,"I don't know why I put the interaction into there actually. I think it's just so I can look at outliers.","scatterplot",01:09:56,01:02:57,01:25:26,22.5,1349,419,419,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"144","li832lin23","P8","516","ixn","happiness",01:10:31,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Money go up, happiness go up. Big surprise.","scatterplot",01:10:31,01:02:57,01:25:26,22.5,1349,454,454,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_gen_GDP_li832lin23happiness"
"145","li832lin23","P8","522","ixn","happiness",01:11:06,"TRUE","PROCESS","representation comment",NA,FALSE,"Oh, this is so cool. Okay, it's still so cool.","scatterplot",01:11:06,01:02:57,01:25:26,22.5,1349,489,489,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness"
"146","li832lin23","P8","539","ixn","happiness",01:11:13,"FALSE","RELATIONSHIP","outlier (relationship)","distribution  (continuous)",FALSE,"Yeah, no, I don't these life expectencies are like what?","dataframe",01:11:13,01:02:57,01:25:26,22.5,1349,496,496,FALSE,"dataframe","TABLE","CODE","display_haiti_li832lin23happiness"
"147","li832lin23","P8","511","ixn","happiness",01:11:24,"FALSE","RELATIONSHIP","outlier (relationship)","distribution  (continuous)",FALSE,"If this was a real thing. I would be highlighting it and saying ""Does anyone else see this?""","dataframe",01:11:24,01:02:57,01:25:26,22.5,1349,507,507,FALSE,"dataframe","TABLE","CODE","display_haiti_li832lin23happiness"
"148","li832lin23","P8","500","ixn","happiness",01:12:00,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Freedom goes up, happiness goes up. Groundbreaking again.","scatterplot",01:12:00,01:02:57,01:25:26,22.5,1349,543,543,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col5_li832lin23happiness"
"149","li832lin23","P8","535","ixn","happiness",01:12:15,"TRUE","RELATIONSHIP","relationship range constriction","relationship (continuous X continuous)",FALSE,"This this one's funny shape. So there are, like all these countries up here where generosity is good. But happiness is like mid-range. So who are these people?","scatterplot",01:12:15,01:02:57,01:25:26,22.5,1349,558,558,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col6_li832lin23happiness"
"150","li832lin23","P8","536","ixn","happiness",01:13:39,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Well roughly, they show the same trend. Well, roughly. It's I don't know it's hard to say anything qualitatively different.","scatterplot",01:13:39,01:02:57,01:25:26,22.5,1349,642,642,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col6_li832lin23happiness"
"151","li832lin23","P8","520","ixn","happiness",01:14:23,"TRUE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"Oh, Oh, Oh! On right side of the chart You're like well, the lower corruption is the higher happiness is, but in general this is a big amorphous cloud where everyone is very corrupt. it's like, what are you gonna do about it. No one cares.","scatterplot",01:14:23,01:02:57,01:25:26,22.5,1349,686,686,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col7_li832lin23happiness"
"152","li832lin23","P8","537","ixn","happiness",01:14:37,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"Who are all these people down here? Yeah, okay. NATO people whatever","scatterplot",01:14:37,01:02:57,01:25:26,22.5,1349,700,700,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col7_li832lin23happiness df.query,"
"153","li832lin23","P8","530","ixn","happiness",01:15:18,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"the people who are happy are happy. This one is very tautological.","scatterplot",01:15:18,01:02:57,01:25:26,22.5,1349,741,741,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col9_li832lin23happiness"
"154","li832lin23","P8","526","ixn","happiness",01:15:34,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"people who are sad are not happy.","scatterplot",01:15:34,01:02:57,01:25:26,22.5,1349,757,757,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col10_li832lin23happiness"
"155","li832lin23","P8","496","ixn","happiness",01:15:48,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"another one which is like all over the place","scatterplot",01:15:48,01:02:57,01:25:26,22.5,1349,771,771,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col11_li832lin23happiness"
"156","li832lin23","P8","529","ixn","happiness",01:16:04,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"the ones which over the place are the most interesting, but also the hardest to say anything about","scatterplot",01:16:04,01:02:57,01:25:26,22.5,1349,787,787,FALSE,"scatterplot","scatterplot","CHART","tooltip_brush_jointplot_happ_col11_li832lin23happiness"
"157","li832lin23","P8","509","ixn","happiness",01:21:43,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"I'm looking at this by country, and I can't see anything.","multiviewchart",01:21:43,01:02:57,01:25:26,22.5,1349,1126,1126,FALSE,"multiviewchart","multi-view chart","CHART","tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness"
"158","li832lin23","P8","510","ixn","happiness",01:21:47,"TRUE","PROCESS","plan of action",NA,FALSE,"If I had a real thing, I would probably do by regions","multiviewchart",01:21:47,01:02:57,01:25:26,22.5,1349,1130,1130,FALSE,"multiviewchart","multi-view chart","CHART","tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness"
"159","li832lin23","P8","502","ixn","happiness",01:22:01,"TRUE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"I can look at the top GDP countries. Yes, yes this is nice. Oh, you know. It's all over the place. It's hard to say.","multiviewchart",01:22:01,01:02:57,01:25:26,22.5,1349,1144,1144,FALSE,"multiviewchart","multi-view chart","CHART","tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness"
"160","li832lin23","P8","525","ixn","happiness",01:22:33,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (multivariate)
",FALSE,"Okay, so the very highest life expectancy [countries]. Cyprus, if you didn't expect Israel. Yeah, Japan. I did it. and they are happy-ish","multiviewchart",01:22:33,01:02:57,01:25:26,22.5,1349,1176,1176,FALSE,"multiviewchart","multi-view chart","CHART","tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness"
"161","li832lin23","P8","527","ixn","happiness",01:25:26,"FALSE","DATASET","missing data",NA,FALSE,"pretty good null situation for a data set","python",01:25:26,01:02:57,01:25:26,22.5,1349,1349,1349,FALSE,"python","CODE","CODE","null_check_li832lin23happiness"
"220","7382kwtue","P3","138","static","space",00:14:48,"FALSE","PROCESS","representation comment",NA,FALSE,"Is the range on these x-axis through this function? Are they like preset, or are they mapping to whatever the range of the data is?","profile",00:14:48,00:14:48,00:43:20,28.5,1712,0,0,FALSE,"profile","profile","CHART","profiler_7382kwtuespace"
"221","7382kwtue","P3","154","static","space",00:17:37,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X categorical)",FALSE,"So my immediate thing that I want to check is whether or not the VIP Boolean values map at all to the Cryosleep ones.","profile",00:17:37,00:14:48,00:43:20,28.5,1712,169,169,FALSE,"profile","profile","CHART","profiler_2_7382kwtuespace"
"222","7382kwtue","P3","136","static","space",00:19:30,"FALSE","DATASET","missing data",NA,FALSE,"I wonder why, there aren't these null values? If doesn't seem to have a mapping for [refering to the pandas output of cryosleep_value_counts_2_7382kwtuespace]. 

Oh it It seems like they're in there there. Okay.","scatterplot",00:19:30,00:14:48,00:43:20,28.5,1712,282,282,FALSE,"scatterplot","scatterplot","CHART","VIP_Cryosleep_sizeCount_scatter_big_7382kwtuespace cryosleep_value_counts_2_7382kwtuespace,"
"223","7382kwtue","P3","160","static","space",00:22:30,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"there is not too much of a difference between, in this data set, of who survived depending on age, unless there were... well, it's hard to tell from this, because there there may have been more people in this age group","stripplot",00:22:30,00:14:48,00:43:20,28.5,1712,462,462,FALSE,"stripplot","stripplot","CHART","survived_age_VIP_stripplot_medium_tall_7382kwtuespace df[df[VIP]==True],"
"224","7382kwtue","P3","151","static","space",00:23:08,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"So it seems like a lot of young people did not survive who are not VIPs, but it's hard to tell the difference, because the number of people who are VIPs versus who were not is not that significant?","stripplot",00:23:08,00:14:48,00:43:20,28.5,1712,500,500,FALSE,"stripplot","stripplot","CHART","survived_age_VIP_stripplot_medium_tall_7382kwtuespace"
"225","7382kwtue","P3","141","static","space",00:24:50,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"Not that many VIPs [written].","hist",00:24:50,00:14:48,00:43:20,28.5,1712,602,602,FALSE,"hist","histogram","CHART","colored_hist_big_7382kwtuespace"
"226","7382kwtue","P3","127","static","space",00:24:55,"FALSE","RELATIONSHIP","relationship range constriction","relationship (categorical X continuous)",FALSE,"Age range of VIPs is limited relative to non-VIPs.","hist",00:24:55,00:14:48,00:43:20,28.5,1712,607,607,FALSE,"hist","histogram","CHART","colored_hist_big_7382kwtuespace"
"227","7382kwtue","P3","144","static","space",00:25:36,"FALSE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (categorical X continuous)",FALSE,"Seems like a significant number of infants or young children did not survive, relative to teemagers and the rest. There seems to be this cluster of data points up here [references survived_age_VIP_stripplot_medium_tall_7382kwtuespace]","stripplot",00:25:36,00:14:48,00:43:20,28.5,1712,648,648,FALSE,"stripplot","stripplot","CHART","survived_age_VIP_stripplot_medium_tall_7382kwtuespace"
"228","7382kwtue","P3","126","static","space",00:28:48,"FALSE","DATASET","missing data",NA,FALSE,"actually, you know, 98% of the data being there, it's not bad at all.","columns",00:28:48,00:14:48,00:43:20,28.5,1712,840,840,FALSE,"columns","TABLE","CODE","null_percent_printouts_7382kwtuespace"
"229","7382kwtue","P3","135","static","space",00:29:00,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"I wonder if that's like randomly distributed or not.","columns",00:29:00,00:14:48,00:43:20,28.5,1712,852,852,FALSE,"columns","TABLE","CODE","null_percent_printouts_7382kwtuespace"
"230","7382kwtue","P3","137","static","space",00:31:25,"FALSE","DATASET","variable metadata",NA,FALSE,"Interesting, this is a number? [referring to room service printout].","python",00:31:25,00:14:48,00:43:20,28.5,1712,997,997,FALSE,"python","CODE","CODE","roomService_printout_7382kwtuespace"
"231","7382kwtue","P3","128","static","space",00:31:28,"FALSE","DATASET","variable metadata",NA,FALSE,"Also a number [FoodCourt printout]","python",00:31:28,00:14:48,00:43:20,28.5,1712,1000,1000,FALSE,"python","CODE","CODE","foodCourt_printout_7382kwtuespace"
"232","7382kwtue","P3","152","static","space",00:34:20,"FALSE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (categorical X continuous)",FALSE,"So it's like according to last names, if there's like a range of ages which would imply like, You know, parents with a child or something like that, like their families on board.","multiviewchart",00:34:20,00:14:48,00:43:20,28.5,1712,1172,1172,FALSE,"multiviewchart","multi-view chart","CHART","color_lastName_scatterplot_7382kwtuespace"
"233","7382kwtue","P3","124","static","space",00:34:56,"FALSE","DATASET","variable metadata",NA,TRUE,"[is this] Like a count of how many times someone got a room service or used the spa?","scatterplot",00:34:56,00:14:48,00:43:20,28.5,1712,1208,1208,FALSE,"scatterplot","scatterplot","CHART","age_roomservice_scatterplot_7382kwtuespace"
"234","7382kwtue","P3","157","static","space",00:35:26,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"That makes sense. Because if these are counts of how often people use the service. Then people who go to the food court probably are not using room service.","scatterplot",00:35:26,00:14:48,00:43:20,28.5,1712,1238,1238,FALSE,"scatterplot","scatterplot","CHART","foodcourt_roomservice_scatterplot_7382kwtuespace"
"235","7382kwtue","P3","159","static","space",00:35:37,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"then people who are at the food court are probably also at the Mall","scatterplot",00:35:37,00:14:48,00:43:20,28.5,1712,1249,1249,FALSE,"scatterplot","scatterplot","CHART","foodcourt_roomservice_scatterplot_7382kwtuespace"
"236","7382kwtue","P3","131","static","space",00:35:52,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Hmm. not as much so. [referring to foodcourt_shoppingmall_scatterplot_7382kwtuespace]","scatterplot",00:35:52,00:14:48,00:43:20,28.5,1712,1264,1264,FALSE,"scatterplot","scatterplot","CHART","foodcourt_shoppingmall_scatterplot_7382kwtuespace"
"237","7382kwtue","P3","142","static","space",00:36:26,"FALSE","PROCESS","plan of action","relationship (categorical X continuous)",FALSE,"Now, I really quickly wanna check a little bit more about that higher rate of young people not surviving.","none",00:36:26,00:14:48,00:43:20,28.5,1712,1298,1298,FALSE,"none","NONE","NONE",NA
"238","7382kwtue","P3","162","static","space",00:40:48,"FALSE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (categorical X continuous)",FALSE,"Tried to check and see if familiies were assigned cabins, seems like they were. [written, not confirmed that the python code was used, but highly likely]","python",00:40:48,00:14:48,00:43:20,28.5,1712,1560,1560,FALSE,"python","CODE","CODE","cabin_lastname_value_counts_7382kwtuespace"
"239","7382kwtue","P3","163","static","space",00:41:10,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"Tried to see if there was a relationship between eating at the Food Court vs. Room Service and surviving, but that dat doesn't seem to map for younger passenger.","python",00:41:10,00:14:48,00:43:20,28.5,1712,1582,1582,FALSE,"python","CODE","CODE","young_mean_foodcourt_7382kwtuespaceyoung_median_roomservice,"
"240","7382kwtue","P3","147","static","space",00:41:25,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Seems to not be a correlation between Room Serivce and Food Court usage which tracks","none",00:41:25,00:14:48,00:43:20,28.5,1712,1597,1597,FALSE,"none","NONE","NONE",NA
"241","7382kwtue","P3","149","static","space",00:43:20,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"So I would presume that there are families on board, then my young passengers probably are with their family, and if their families are eating at all, presumably they are either eating at the food court, or through room service. It may just be that they're all in Cryosleep, because I did not check that, but I'm assuming that they are not asleep– Thus they might have not been logged as eating there","hist",00:43:20,00:14:48,00:43:20,28.5,1712,1712,1712,FALSE,"hist","histogram","CHART","young_foodcourt_hist_7382kwtuespace cabin_lastname_value_counts_7382kwtuespace, young_mean_foodcourt_7382kwtuespace,young_median_roomservice,"
"242","7382kwtue","P3","145","ixn","happiness",01:02:50,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"seems like GDP maps pretty well to the happiness score.","profile",01:02:50,01:02:50,01:26:40,23.8,1430,0,0,FALSE,"profile","profile","CHART","profile_df_7382kwtuehappiness"
"243","7382kwtue","P3","148","ixn","happiness",01:03:06,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"so does social support. [maps pretty well to happiness score]","profile",01:03:06,01:02:50,01:26:40,23.8,1430,16,16,FALSE,"profile","profile","CHART","profile_df_7382kwtuehappiness"
"244","7382kwtue","P3","153","ixn","happiness",01:05:02,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (continuous X continuous)",FALSE,"So just trying to see the correlation between confidence in the government and corruption, and it seems like there is an interesting like clump of data with where corruption is rated the highly, but as is confidence in government. So I'm little curious about that.","scatterplot",01:05:02,01:02:50,01:26:40,23.8,1430,132,132,FALSE,"scatterplot","scatterplot","CHART","corruption_confidence_scatter_brush_sized_7382kwtuehappiness"
"245","7382kwtue","P3","146","ixn","happiness",01:09:07,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"Seems like there's an interesting mix there. But I don't know if that's the determining factor. [freedom and the relationship between highly corruption and highly confident in government entities].","scatterplot",01:09:07,01:02:50,01:26:40,23.8,1430,377,377,FALSE,"scatterplot","scatterplot","CHART","corruption_confidence_hover_pan_zoom_color_freedomQ_separate_encoding_scatter_bigger_7382kwtuehappiness"
"246","7382kwtue","P3","133","ixn","happiness",01:09:15,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"I need to see if generosity correlated with corruption. Actually might like a little bit. What else do we have that might be a factor?","scatterplot",01:09:15,01:02:50,01:26:40,23.8,1430,385,385,FALSE,"scatterplot","scatterplot","CHART","corruption_confidence_hover_pan_zoom_color_generosityQ_separate_encoding_scatter_7382kwtuehappiness"
"247","7382kwtue","P3","125","ixn","happiness",01:09:55,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"actually, let me see if positive effect correlates generally with how correct do you think?","scatterplot",01:09:55,01:02:50,01:26:40,23.8,1430,425,425,FALSE,"scatterplot","scatterplot","CHART","corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_2_7382kwtuehappiness"
"248","7382kwtue","P3","129","ixn","happiness",01:10:11,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"And confidence in government is higher? Well. seems like that doesn't really correlate.","scatterplot",01:10:11,01:02:50,01:26:40,23.8,1430,441,441,FALSE,"scatterplot","scatterplot","CHART","corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_3_7382kwtuehappiness"
"249","7382kwtue","P3","158","ixn","happiness",01:10:43,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"That's a weird dispersion [gestures to cluster with a low corruption and high positive affect that is distinct from the general trend]","scatterplot",01:10:43,01:02:50,01:26:40,23.8,1430,473,473,FALSE,"scatterplot","scatterplot","CHART","positiveAffect_corruption_hover_pan_zoom_encode_scatter_7382kwtuehappiness"
