UID,PID,Notebook,Timestamp,interaction_used,Condition,group,highlevel,Data Type,UtteranceType,Utterance,All representations,Python Used,Didn't use interaction,Insight Description,Justification,Was Interaction Used,Was Recapped,Was Vis used,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
97,lkin27js09b,Space,41:24:00,FALSE,Static,none,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction," slightly higher survivors from home planet, Earth.","surv_prop_unique_val_count3, prop_unique_val_count1,","surv_prop_unique_val_count3, prop_unique_val_count1",,printed the value counts for a survived and the full dataframe. Looked back between the printed statements and said that there is this higher ratio. ,,,,,,,,,"surv_prop_unique_val_count3, prop_unique_val_count1",,   
98,lkin27js09b,Space,41:37:00,FALSE,Static,none,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,"A lot more [survived] that t weren't in cryosleep, so they probably just let them die. They're already in the rooms. They're you know they're probably less likely to get rescued if they're just, you know, stuck in the rooms","surv_prop_unique_val_count3, prop_unique_val_count1,","surv_prop_unique_val_count3, prop_unique_val_count1",,printed the value counts for a survived and the full dataframe. Looked back between the printed statements and said that there is this higher ratio. ,,,,,,,,,"surv_prop_unique_val_count3, prop_unique_val_count1",,   
99,lkin27js09b,Space,42:01:00,FALSE,Static,none,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,"Yeah, and the vip is not really a that look like that's really a factor","surv_prop_unique_val_count3, prop_unique_val_count1,","surv_prop_unique_val_count3, prop_unique_val_count1",,printed the value counts for a survived and the full dataframe. Looked back between the printed statements and said that there is this higher ratio. ,,,,,,,,,"surv_prop_unique_val_count3, prop_unique_val_count1",,   
100,lkin27js09b,Space,42:17:00,FALSE,Static,none,ANALYSIS PROCESS,relationship (categorical X continuous),plan of action,"Well, yeah. So i'd add, I would, I would add their total. the the total of these values room service, food court, shopping mall to see how much they spent to see if that was a factor",,,,"Planning (not data observation), data dictionary for planning",,,,,,,,,,,   
101,lkin27js09b,Happiness,1:13:38,FALSE,Interactive,data_dictionary,DATASET,,data provenance,We got overall score. probably some the method of scoring to get that based on these other attributes.,"data_dictionary, ",,,Data dictionary,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
102,lkin27js09b,Happiness,1:14:05,FALSE,Interactive,data_dictionary,DATASET,,data provenance,so we probably want to know which of these attributes most is attributable to this score,"data_dictionary, ",,,Data dictionary,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
103,lkin27js09b,Happiness,1:16:29,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"First, I was curious to see. you know over time. Is there a change in you know the distribution of the scores so like are we happier in 2,022 than we are in 2004 overall.","highlight_brush_profile_lkin27js09bhappiness,",,,hypothesis generated by drawing brush on time rangesd 2004-2007 and 2018-2020.,,highlight_brush_profile_lkin27js09bhappiness,,,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_profile_lkin27js09bhappiness,visualization,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
104,lkin27js09b,Happiness,1:16:51,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"If you take this brush and kind of look as you go across and take a look at the happiness score and some of these other ones. If there's one that increases more at a different rate. It's, you know it looks like it's generally the same. ","highlight_brush_profile_lkin27js09bhappiness,",,,Strategy utterance. Accomplishes this by starting a brush at 2004 and slowly dragging it to 2020. Observes that if any other profile changes at a different rate then somethings is up. REALLY difficult to tell the rate of this change,,highlight_brush_profile_lkin27js09bhappiness,,,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_profile_lkin27js09bhappiness,visualization,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
105,lkin27js09b,Happiness,1:17:25,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Does your model account for you know, If everything's going right, then people should be happy or over time. So do you, Does you? Does your baseline change, or does it stay the same?","highlight_brush_profile_lkin27js09bhappiness,",,,,,highlight_brush_profile_lkin27js09bhappiness,,,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_profile_lkin27js09bhappiness,visualization,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
106,lkin27js09b,Happiness,1:18:03,TRUE,Interactive,profile,RELATIONSHIP,"relationship (multivariate)
",relationship form (linearity/non-linearity), I'm sure that some countries score higher than other countries on a consistent basis.,"highlight_brush_profile_lkin27js09bhappiness, intro_text,",,,,,highlight_brush_profile_lkin27js09bhappiness,,,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,"highlight_brush_profile_lkin27js09bhappiness, intro_text",visualization,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
107,lkin27js09b,Happiness,1:18:12,TRUE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution variance (sd, var)","I guess the hard part is trying to gauge that as a as a global score. when you can have so many different, you know, a lot of variance of happiness probably among all these different countries.","highlight_brush_profile_lkin27js09bhappiness, intro_text,",,,,"Coded as variance as it seemed to be the primary goal of the utterance whereas countries could be used as a general data entity (like ""people names"")",highlight_brush_profile_lkin27js09bhappiness,,,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,"highlight_brush_profile_lkin27js09bhappiness, intro_text",visualization,"columns = df.columns
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
108,lkin27js09b,Happiness,1:18:52,FALSE,Interactive,none,ANALYSIS PROCESS,,plan of action,Then I'd probably just make one of these for each of the attributes. ,"interactive_tutorial, ",,,Planning ,,,,,,,,,interactive_tutorial,,   
109,lkin27js09b,Happiness,1:23:21,FALSE,Interactive,barplot,ANALYSIS PROCESS,,representation comment,"I would probably first stretch it out. Use the brush to to get just, you know, to functionality. ","barplot_country2_lkin27js09bhappiness,",,,"Planning, talking about how I'd group up this data to make it easier to analyze.",,barplot_country2_lkin27js09bhappiness,,,"alx.barplot(df,x='country',y='happinessScore')",,,,barplot_country2_lkin27js09bhappiness,visualization,"alx.barplot(df,x='country',y='happinessScore')   "
110,,,,FALSE,,barplot,ANALYSIS PROCESS,distribution (categorical),plan of action,"And then if I had more time to do something like this, group these countries into subgroups, whether that's continents or you know smaller subsets to see if there's– you know it's tough to try to gauge that at the country level– so I think you could probably bridge that by grouping them into some sort of, you know, probably North America, South America.",,,,,,barplot_country2_lkin27js09bhappiness,,,"alx.barplot(df,x='country',y='happinessScore')",,,,barplot_country2_lkin27js09bhappiness,visualization,"alx.barplot(df,x='country',y='happinessScore')   "
111,lkin27js09b,Happiness,1:34:52,TRUE,Interactive,Multi-view Chart,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Generally happier countries have more freedom, a higher life expectancy, more social support, generosity, less corruption. Relatively.","combined_profile_brush_bar6_lkin27js09bhappiness,",,,,,combined_profile_brush_bar6_lkin27js09bhappiness,,,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)",,,,combined_profile_brush_bar6_lkin27js09bhappiness,visualization,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)"
112,lkin27js09b,Happiness,1:35:40,TRUE,Interactive,Multi-view Chart,ANALYSIS PROCESS,,plan of action,People have spent their whole lives studying this. So I'm sure there are a lot of factors.,"combined_profile_brush_bar6_lkin27js09bhappiness,",,,,,combined_profile_brush_bar6_lkin27js09bhappiness,,,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)",,,,combined_profile_brush_bar6_lkin27js09bhappiness,visualization,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)"
113,lkin27js09b,Happiness,1:36:23,FALSE,Interactive,Multi-view Chart,DATASET,,data provenance,"So i'd be curious to have this study the data collected from the folks on this end [pointing towards low happiness score countries in a sorted bar chart].  to see where the variance is from. You know these scores are all kind of their perception. These are all kinds of perceptions.
","combined_profile_brush_bar6_lkin27js09bhappiness, brush and average happiness bar graph,",,Didn't use interaction,"Not really a data observation, but more so a meta-level doubt about the data itself. That some of the measured values for countries are subjective in nature. ",,combined_profile_brush_bar6_lkin27js09bhappiness,,,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)",,,,"combined_profile_brush_bar6_lkin27js09bhappiness, brush and average happiness bar graph",visualization,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)"
114,lkin27js09b,Happiness,1:37:11,FALSE,Interactive,Multi-view Chart,DATASET,,missing data,"I mean, i'm sure there's probably some missing data sets.","combined_profile_brush_bar6_lkin27js09bhappiness, df_print3_lkin27js09bhappiness,",df_print3_lkin27js09bhappiness,Didn't use interaction,Note: no missing data seen directly? Just assumes?,,combined_profile_brush_bar6_lkin27js09bhappiness,,,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)",,print(df),,"combined_profile_brush_bar6_lkin27js09bhappiness, df_print3_lkin27js09bhappiness","visualization, other","alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)  print(df)"
115,lkin27js09b,Happiness,1:37:49,TRUE,Interactive,Multi-view Chart,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Countries with higher GDP, less corruption, more freedom, higher life expectancy, generally have higher happiness scores.","combined_profile_brush_bar6_lkin27js09bhappiness, df_print3_lkin27js09bhappiness,",df_print3_lkin27js09bhappiness,,"Added the ""higher life exp....happiness scores."" as that was written in notebook. ",,combined_profile_brush_bar6_lkin27js09bhappiness,,,"alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)",,print(df),,"combined_profile_brush_bar6_lkin27js09bhappiness, df_print3_lkin27js09bhappiness","visualization, other","alx.highlight_brush() + alx.profile(df,vars=df.columns) & alx.barplot(df,x='country',y='average(happinessScore)', sort='-y', width=1200)  print(df)"
116,li832lin23,Space,0:14:28,FALSE,Static,dataframe,DATASET,,data orientation,Survived is the outcome variable,"display_head_dataframe_li832lin23space,",display_head_dataframe_li832lin23space,,,,,,,,,df.head(),,display_head_dataframe_li832lin23space,dataframe,  df.head() 
117,li832lin23,Space,0:22:38,FALSE,Static,hist,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","there is a like semi-normal – I'm not using that like a statistical distribution – that  like it's slightly skew to the – Oh, I cannot remember which one it is– right. which is, which has a slightly long tale to the right that is what i'm saying.","log_transform_roomservice_hist_li832lin23space,",,,,,,,log_transform_roomservice_hist_li832lin23space,,"import numpy as np 
 

 df['log_room'] = np.log(df['RoomService'])
 alx.hist(df, x= 'log_room')",,,log_transform_roomservice_hist_li832lin23space,visualization," import numpy as np 
 

 df['log_room'] = np.log(df['RoomService'])
 alx.hist(df, x= 'log_room')  "
118,li832lin23,Space,0:23:25,FALSE,Static,hist,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","yeah, it looks very similar in terms of a shape.","log_transform_foodcourt_hist_li832lin23space,",,,,,,,log_transform_foodcourt_hist_li832lin23space,,"df['log_food'] = np.log(df['FoodCourt'])
 alx.hist(df, x= 'log_food')",,,log_transform_foodcourt_hist_li832lin23space,visualization," df['log_food'] = np.log(df['FoodCourt'])
 alx.hist(df, x= 'log_food')  "
119,li832lin23,Space,0:26:29,FALSE,Static,barplot,DATASET,,missing data,There are a bunch of nulls now.,"barplot_survived_homeplanet_7_li832lin23space,",,,,,,,barplot_survived_homeplanet_7_li832lin23space,,"alx.barplot(df,x='Survived:N',y='count()',color='Survived:N',column='HomePlanet')",,,barplot_survived_homeplanet_7_li832lin23space,visualization," alx.barplot(df,x='Survived:N',y='count()',color='Survived:N',column='HomePlanet')  "
120,li832lin23,Space,0:26:40,FALSE,Static,barplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,Earth had more people who survived than Europa had – I mean proportionally.,"barplot_survived_homeplanet_7_li832lin23space,",,,,,,,barplot_survived_homeplanet_7_li832lin23space,,"alx.barplot(df,x='Survived:N',y='count()',color='Survived:N',column='HomePlanet')",,,barplot_survived_homeplanet_7_li832lin23space,visualization," alx.barplot(df,x='Survived:N',y='count()',color='Survived:N',column='HomePlanet')  "
121,li832lin23,Space,0:27:59,FALSE,Static,barplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,"Oh, this is very pronounced. People who weren't in cryosleep sleep were more likely to survive.","barplot_survived_cryosleep_li832lin23space,",,,,,,,barplot_survived_cryosleep_li832lin23space,,"alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='CryoSleep')",,,barplot_survived_cryosleep_li832lin23space,visualization," alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='CryoSleep')  "
122,li832lin23,Space,0:28:36,FALSE,Static,barplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,Canori E has proportionally fewer survivors. ,"barplot_survived_destination_li832lin23space,",,,,,,,barplot_survived_destination_li832lin23space,,"alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='Destination')",,,barplot_survived_destination_li832lin23space,visualization," alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='Destination')  "
123,li832lin23,Space,28:43:00,FALSE,Static,barplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,More than were going to TRAPPIST.,"barplot_survived_destination_li832lin23space,",,,,,,,barplot_survived_destination_li832lin23space,,"alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='Destination')",,,barplot_survived_destination_li832lin23space,visualization," alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='Destination')  "
124,li832lin23,Space,0:32:16,FALSE,Static,stripplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,There is no perceptible difference [discussing Age between survived and not survived],"stripplot_age_survived_2_li832lin23space,",,,,,,,stripplot_age_survived_2_li832lin23space,,"alx.stripplot(df,x='Age',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal",,,stripplot_age_survived_2_li832lin23space,visualization," alx.stripplot(df,x='Age',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal  "
125,li832lin23,Space,0:32:59,FALSE,Static,barplot,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","I think maybe the VIP people survive a little more. It's hard to say, given the proportional difference.
","barplot_survived_cryosleep_li832lin23space,",,,,,,,barplot_survived_cryosleep_li832lin23space,,"alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='CryoSleep')",,,barplot_survived_cryosleep_li832lin23space,visualization," alx.barplot(df,x='survived:N',y='count()',color='survived:N',column='CryoSleep')  "
126,li832lin23,Space,0:33:40,FALSE,Static,columns,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,I guess people who survived well likely to spend more money in the Spa.,"display_dataframe_columns_li832lin23space,",,,,,,,display_dataframe_columns_li832lin23space,,df.columns,,,display_dataframe_columns_li832lin23space,columns, df.columns  
127,li832lin23,Space,0:34:19,FALSE,Static,data_dictionary,RELATIONSHIP,relationship (categorical X continuous),relationship existence / non-existence,"Oh, there's no income variable is there. I guess the VIP variable is a proxy","data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
128,li832lin23,Space,0:34:39,FALSE,Static,stripplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,"I would say people who spend more money are more likely to survive, ","stripplot_logroom_survived_li832lin23space,",,,Used after a s,,,,stripplot_logroom_survived_li832lin23space,,"alx.stripplot(df,x='log_room',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal",,,stripplot_logroom_survived_li832lin23space,visualization," alx.stripplot(df,x='log_room',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal  "
129,li832lin23,Space,34:44:00,FALSE,Static,stripplot,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,maybe is also capturing things like the vip are maybe more likely to survive.,"stripplot_logroom_survived_li832lin23space,",,,,,,,stripplot_logroom_survived_li832lin23space,,"alx.stripplot(df,x='log_room',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal",,,stripplot_logroom_survived_li832lin23space,visualization," alx.stripplot(df,x='log_room',row='survived',color='survived:N')
 # NOTE: we use cluster:N to tell alx, cluster is nominal  "
130,li832lin23,Space,0:35:43,FALSE,Static,heatmap,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"I mean, obviously the variables are correlated with the logs","heatmap_correlation_matrix_li832lin23space,",,,,,,,heatmap_correlation_matrix_li832lin23space,,alx.heatmap(correlation_matrix),,,heatmap_correlation_matrix_li832lin23space,visualization, alx.heatmap(correlation_matrix)  
131,li832lin23,Space,0:36:51,FALSE,Static,none,DATASET,,missing data,It's a much better data quality than most real data sets. So not many nulls.,"mean_isnull_li832lin23space,",,,,,,,mean_isnull_li832lin23space,,df.isnull().mean(),,,mean_isnull_li832lin23space,other, df.isnull().mean()  
132,li832lin23,happiness,1:02:57,FALSE,Interactive,data_dictionary,DATASET,,data provenance,It's nice when they give you the log variables,"data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
133,li832lin23,happiness,1:03:15,FALSE,Interactive,data_dictionary,DATASET,,variable metadata,[socialSupport] this one's a binary.,"data_dictionary, ",,,"Note: this is incorrect, the question asked people was binary, but the data item is continuous (0-1)",,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
134,li832lin23,happiness,1:04:55,FALSE,Interactive,profile,DATASET,,variable metadata,"You know, I thought social support was supposed to be binary. Oh it was the national average.","df_profile_all_li832lin23happiness,",,,,,,,df_profile_all_li832lin23happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_profile_all_li832lin23happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
135,li832lin23,happiness,1:05:36,FALSE,Interactive,profile,ANALYSIS PROCESS,,plan of action,"No, nothing looks especially interesting. So I guess this just means make a bunch of plots.","df_profile_all_li832lin23happiness,",,,,,,,df_profile_all_li832lin23happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_profile_all_li832lin23happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
136,li832lin23,happiness,1:06:14,FALSE,Interactive,none,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,"I will just do a bunch of variable set of plots with happiness against the other variables, and then, when I want to break it out, I will, By country which is the only available form of categorization.",,,,,,,,,,,,,,,   
137,li832lin23,happiness,1:06:55,FALSE,Interactive,heatmap,ANALYSIS PROCESS,,representation comment,"Oh, obviously I have to do this [make a correlation heatmap], but everyone does it all the time. Will it tell me anything? It will not. It never does. ","corr_heatmap_li832lin23happiness,",,,,,,,corr_heatmap_li832lin23happiness,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,corr_heatmap_li832lin23happiness,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
138,li832lin23,happiness,1:08:50,FALSE,Interactive,scatterplot,ANALYSIS PROCESS,,representation comment,"There are interactive charts that people, people meaning me, just are clicking around and like ""cool. I have no analytical thought I'm just clicking things. ""","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,didn't use interaction,Occured right after drew a brush on the chart. ,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
139,li832lin23,happiness,1:09:07,FALSE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"in general, happinessScore goes up with life expectancy","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,didn't use interaction,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
140,li832lin23,happiness,1:09:23,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),outlier (relationship),"Haiti's life expectancy is this [tooltip present] like this is concerning me. I have to look at it.
","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
141,li832lin23,happiness,1:09:23,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),outlier (relationship)," Okay, I mean, I guess it makes sense. But this is like constantly, you know, for a lower life expectancy. Okay. just very little life expectancy, not much happiness","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,,"""Specifically says at 1:26:13, that's not something I would have seen without the toolltip""",,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
142,li832lin23,happiness,1:09:50,FALSE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"But the general train is yeah, the longer you live the happier you are ","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,Didn't use interaction,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
143,li832lin23,happiness,1:09:56,FALSE,Interactive,scatterplot,ANALYSIS PROCESS,relationship (continuous X continuous),representation comment,I don't know why I put the interaction into there actually. I think it's just so I can look at outliers. ,"tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,Didn't use interaction,"Not an observation, strategy",,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
144,li832lin23,happiness,1:10:31,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Money go up, happiness go up. Big surprise.","tooltip_brush_jointplot_gen_GDP_li832lin23happiness,",,,,,tooltip_brush_jointplot_gen_GDP_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(generous,x='happinessScore',y='logGDPPerCapita')",,,,tooltip_brush_jointplot_gen_GDP_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(generous,x='happinessScore',y='logGDPPerCapita')   "
145,li832lin23,happiness,1:11:06,TRUE,Interactive,scatterplot,ANALYSIS PROCESS,,representation comment,"Oh, this is so cool. Okay, it's still so cool.","tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,",,,after copying brush of haiti (outlier) to query and seeing dataframe.,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,,tooltip_brush_jointplot_happ_lifeExp3_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y='lifeExpectancy')   "
146,li832lin23,happiness,1:11:13,FALSE,Interactive,dataframe,RELATIONSHIP,distribution  (continuous),outlier (relationship),"Yeah, no, I don't these life expectencies are like what?","display_haiti_li832lin23happiness,",display_haiti_li832lin23happiness,,Used interaction to generate,,,,,,,haiti,,display_haiti_li832lin23happiness,dataframe,  haiti 
147,li832lin23,happiness,1:11:24,FALSE,Interactive,dataframe,RELATIONSHIP,distribution  (continuous),outlier (relationship),"If this was a real thing. I would be highlighting it and saying ""Does anyone else see this?""","display_haiti_li832lin23happiness,",display_haiti_li832lin23happiness,,,,,,,,,haiti,,display_haiti_li832lin23happiness,dataframe,  haiti 
148,li832lin23,happiness,1:12:00,FALSE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Freedom goes up, happiness goes up. Groundbreaking again.","tooltip_brush_jointplot_happ_col5_li832lin23happiness,",,didn't use interaction,,,tooltip_brush_jointplot_happ_col5_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[5])",,,,tooltip_brush_jointplot_happ_col5_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[5])"
149,li832lin23,happiness,1:12:15,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship range constriction,"This this one's funny shape. So there are, like all these countries up here where generosity is good. But happiness is like mid-range. So who are these people?","tooltip_brush_jointplot_happ_col6_li832lin23happiness,",,,,,tooltip_brush_jointplot_happ_col6_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[6])",,,,tooltip_brush_jointplot_happ_col6_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[6])"
150,li832lin23,happiness,1:13:39,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Well roughly, they show the same trend. Well, roughly. It's I don't know it's hard to say anything qualitatively different.","tooltip_brush_jointplot_happ_col6_li832lin23happiness,",,,,,tooltip_brush_jointplot_happ_col6_li832lin23happiness,,,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[6])",,,,tooltip_brush_jointplot_happ_col6_li832lin23happiness,visualization,"alx.highlight_brush() + alx.tooltip_hover() + alx.jointplot(df,x='happinessScore',y=df.columns[6])"
