SID,Final_Group,Utterance Type,Utterance,Data Type,interaction_used,Highlevel,PID,Notebook,Condition,All representations,Timestamp,adj_timestamp,Dylan Flag Storytelling,Dylan Flag Correction,Dylan Flag Simultaneous Characterization,Vis_Was_Interactive,Timestamp,PNUM
148,scatterplot,relationship strength and/or direction,"Freedom goes up, happiness goes up. Groundbreaking again.",relationship (continuous X continuous),FALSE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col5_li832lin23happiness, ",1:12:00,1:12:00,,,,TRUE,1:12:00,P8
149,scatterplot,relationship range constriction,"This this one's funny shape. So there are, like all these countries up here where generosity is good. But happiness is like mid-range. So who are these people?",relationship (continuous X continuous),TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col6_li832lin23happiness, ",1:12:15,1:12:15,,,,TRUE,1:12:15,P8
150,scatterplot,relationship strength and/or direction,"Well roughly, they show the same trend. Well, roughly. It's I don't know it's hard to say anything qualitatively different.",relationship (continuous X continuous),TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col6_li832lin23happiness, ",1:13:39,1:13:39,,,,TRUE,1:13:39,P8
151,scatterplot,relationship form (linearity/non-linearity),"Oh, Oh, Oh! On right side of the chart You're like well, the lower corruption is the higher happiness is, but in general this is a big amorphous cloud where everyone is very corrupt. it's like, what are you gonna do about it. No one cares. ",relationship (continuous X continuous),TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col7_li832lin23happiness, ",1:14:23,1:14:23,,,,TRUE,1:14:23,P8
152,scatterplot,relationship cluster(s)/subgroup/ unexpected,"Who are all these people down here? Yeah, okay. NATO people whatever","relationship (multivariate)
",TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col7_li832lin23happiness, df.query, ",1:14:37,1:14:37,,,,TRUE,1:14:37,P8
153,scatterplot,relationship strength and/or direction,the people who are happy are happy. This one is very tautological. ,relationship (continuous X continuous),FALSE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col9_li832lin23happiness, ",1:15:18,1:15:18,,,,TRUE,1:15:18,P8
154,scatterplot,relationship strength and/or direction,people who are sad are not happy.,relationship (continuous X continuous),FALSE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col10_li832lin23happiness, ",1:15:34,1:15:34,,,,TRUE,1:15:34,P8
155,scatterplot,relationship form (linearity/non-linearity),another one which is like all over the place,relationship (continuous X continuous),FALSE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col11_li832lin23happiness, ",1:15:48,1:15:48,,,,TRUE,1:15:48,P8
156,scatterplot,outlier (relationship),"the ones which over the place are the most interesting, but also the hardest to say anything about",relationship (continuous X continuous),TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_jointplot_happ_col11_li832lin23happiness, ",1:16:04,1:16:04,,,,TRUE,1:16:04,P8
157,Multi-view Chart,relationship existence / non-existence,"I'm looking at this by country, and I can't see anything. ",relationship (continuous X continuous),FALSE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness, ",1:21:43,1:21:43,,,,TRUE,1:21:43,P8
158,Multi-view Chart,plan of action,"If I had a real thing, I would probably do by regions",,TRUE,ANALYSIS PROCESS,li832lin23,happiness,Interactive,"tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness, ",1:21:47,1:21:47,,,,TRUE,1:21:47,P8
159,Multi-view Chart,relationship form (linearity/non-linearity),"I can look at the top GDP countries. Yes, yes this is nice. Oh, you know. It's all over the place. It's hard to say.",relationship (continuous X continuous),TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness, ",1:22:01,1:22:01,,,,TRUE,1:22:01,P8
160,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"Okay, so the very highest life expectancy [countries]. Cyprus, if you didn't expect Israel. Yeah, Japan. I did it. and they are happy-ish","relationship (multivariate)
",TRUE,RELATIONSHIP,li832lin23,happiness,Interactive,"tooltip_brush_barplot_avg_happiness_profile8_li832lin23happiness, ",1:22:33,1:22:33,,,,TRUE,1:22:33,P8
161,python,missing data,pretty good null situation for a data set,,FALSE,DATASET,li832lin23,happiness,Interactive,"null_check_li832lin23happiness, ",1:25:26,1:25:26,,,,FALSE,1:25:26,P8
162,scatterplot,"distribution range [min, max]","And that's interesting that the year starting at 2,005 to 2,020, so it's like this is the time span",distribution  (continuous),FALSE,VARIABLE,bjs827ee1u,happiness,Static,"alx_scatter_year_happiness_bjs827ee1uhappiness, ",24:52:00,0:24:52,,,,FALSE,24:52:00,P6
163,scatterplot,relationship strength and/or direction,"and it seems like in the in the early years, about 2,005. The happiness score was higher than then. Here in the later.",relationship (continuous X continuous),FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"alx_scatter_year_happiness_bjs827ee1uhappiness, ",24:58:00,0:24:58,,,,FALSE,24:58:00,P6
164,scatterplot,relationship strength and/or direction,"here I can see that in 2,005 there is a higher score also, and here we have more low scores.",relationship (continuous X continuous),FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"alx_joint_year_logGDP_bjs827ee1uhappiness, ",25:44:00,0:25:44,,,,FALSE,25:44:00,P6
165,scatterplot,outlier (relationship),"Yeah, I think there's some interesting outliers.",,FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"alx_joint_year_logGDP_bjs827ee1uhappiness, ",25:53:00,0:25:53,,,,FALSE,25:53:00,P6
166,scatterplot,relationship strength and/or direction,"Here I can find the correlation. The higher the GDP per Capita, the happier the people.",relationship (continuous X continuous),FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"alx_joint_happiness_logGDP_bjs827ee1uhappiness, ",0:27:54,0:27:54,,,,FALSE,0:27:54,P6
167,scatterplot,representation comment,"And now for the year, 2008. We have something like this",,FALSE,ANALYSIS PROCESS,bjs827ee1u,happiness,Static,"jointplot_2008_bjs827ee1uhappiness, ",32:41:00,0:32:41,,,,FALSE,32:41:00,P6
168,scatterplot,relationship strength and/or direction,"I can see that in 2,008 , which is on the left, and 2,014.So this one  [mouse over 2014] is a bit more tilted to the right.So I would say that overall people are a bit more happy.","relationship (multivariate)
",FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"jointplot_combo_5_2008_2014_bjs827ee1uhappiness, ",35:52:00,0:35:52,,,,FALSE,35:52:00,P6
169,scatterplot,relationship strength and/or direction,So I change the year to 2021 and there is also like this: this shift to the to the right.,"relationship (multivariate)
",FALSE,RELATIONSHIP,bjs827ee1u,happiness,Static,"jointplot_combo_2008_2021_bjs827ee1uhappiness, ",36:49:00,0:36:49,,,,FALSE,36:49:00,P6
170,dataframe,missing data,"And yeah, for example, here we see the first time that we have a value that is not a number. Here. We have another number. Yeah, there are quite a few places where there is not a number.",,FALSE,DATASET,bjs827ee1u,happiness,Static,"set_display_and_view_bjs827ee1uhappiness, ",40:06:00,0:40:06,,,,FALSE,40:06:00,P6
171,dataframe,"distribution shape [shape, skew, kurtosis]","Okay, we have different countries.",distribution (categorical),FALSE,VARIABLE,bjs827ee1u,happiness,Static,"set_display_and_view_bjs827ee1uhappiness, ",40:36:00,0:40:36,,,,FALSE,40:36:00,P6
172,scatterplot,representation comment,"Today there's less, generosity. Oh Okay, to know that, Then I would have to like get the x-axis. so that it's not the same x-axis, and let's see if I can find a way to like get the X-axis this at the same level.","relationship (multivariate)
",FALSE,ANALYSIS PROCESS,bjs827ee1u,happiness,Static,"filter_and_jointplot_3_2008_2021_bjs827ee1uhappiness, ",42:02:00,0:42:02,,TRUE,,FALSE,42:02:00,P6
173,data_dictionary,variable metadata,"I'm just reading through the variables to the things like, what what are the variables the like here? Now i'm like at the the age blah, blah, blah. Shopping mall. ",,FALSE,DATASET,bjs827ee1u,space,Interactive,"data_dictionary, ",1:15:05,1:15:05,,,,FALSE,1:15:05,P6
174,dataframe,missing data," Okay, first data quality, quite good, there's a few not a number values.",,FALSE,DATASET,bjs827ee1u,space,Interactive,"display_df_bjs827ee1uspace, ",1:16:13,1:16:13,,,,FALSE,1:16:13,P6
175,dataframe,relationship existence / non-existence,"I think I will start with the with the scatterplot and I will compare, just randomly, the home planet with the cryo-sleep. I guess it won't work because it's a boolean thing. But oh, okay. Actually, it works.",relationship (categorical X categorical),FALSE,RELATIONSHIP,bjs827ee1u,space,Interactive,"display_df_bjs827ee1uspace, ",1:17:12,1:17:12,,,,FALSE,1:17:12,P6
176,scatterplot,relationship existence / non-existence,"Okay, that Doesn't tell me too much. I have, like few people in in cryo sleep over all ages.",relationship (categorical X continuous),FALSE,RELATIONSHIP,bjs827ee1u,space,Interactive,"Age_CryoSleep_scatterplot_bjs827ee1uspace, ",1:18:00,1:18:00,,,,TRUE,1:18:00,P6
177,scatterplot,missing data,there is actually a third option which I don't understand true false and whatever.,,TRUE,DATASET,bjs827ee1u,space,Interactive,"Age_CryoSleep_scatterplot_bjs827ee1uspace, ",1:18:08,1:18:08,,,,TRUE,1:18:08,P6
178,dataframe,data orientation,"okay, I have Ids like they don't give me too much information.",,FALSE,DATASET,bjs827ee1u,space,Interactive,"display_df_bjs827ee1uspace, ",1:19:40,1:19:40,,,,FALSE,1:19:40,P6
179,dataframe,relationship strength and/or direction,"I should like to look for something that seems to be unfair. So, for example, maybe people were discriminated by age by vip or these factors.",relationship (categorical X continuous),FALSE,RELATIONSHIP,bjs827ee1u,space,Interactive,"display_df_bjs827ee1uspace, ",1:20:10,1:20:10,TRUE,,TRUE,FALSE,1:20:10,P6
180,scatterplot,representation comment,And the scatterplot– Doesn't help me too much in that.,,TRUE,ANALYSIS PROCESS,bjs827ee1u,space,Interactive,"VIP_survived_scatterplot_4_bjs827ee1uspace, ",1:24:47,1:24:47,,,,TRUE,1:24:47,P6
181,python,relationship existence / non-existence,"Okay, now I want to see who survived who are VIPs.",relationship (categorical X categorical),FALSE,RELATIONSHIP,bjs827ee1u,space,Interactive,"count_survived_bjs827ee1uspace, ",1:26:51,1:26:51,,,,FALSE,1:26:51,P6
182,python,"distribution shape [shape, skew, kurtosis]",And so 69 survived who are VIPs. ,distribution (categorical),FALSE,VARIABLE,bjs827ee1u,space,Interactive,"count_filtered_df1_bjs827ee1uspace, ",1:28:20,1:28:20,,,,FALSE,1:28:20,P6
183,python,"distribution shape [shape, skew, kurtosis]","So 69 VIPs survived, and 2,000 or so did not survived.",distribution (categorical),FALSE,VARIABLE,bjs827ee1u,space,Interactive,"count_filtered_df1_bjs827ee1uspace, VIP_survived_filter2_len_bjs827ee1uspace, ",1:30:01,1:30:01,,,,FALSE,1:30:01,P6
184,python,"distribution shape [shape, skew, kurtosis]","out there in total 5,000 VIPs and 5,000 non vips",distribution (categorical),FALSE,VARIABLE,bjs827ee1u,space,Interactive,"count_vip_true_bjs827ee1uspace, count_vip_false_bjs827ee1uspace, ",1:30:28,1:30:28,,,,FALSE,1:30:28,P6
185,scatterplot,relationship range constriction,So there are a lot of like very young people who don't get room service.,relationship (continuous X continuous),FALSE,RELATIONSHIP,bjs827ee1u,space,Interactive,"Age_RoomService_scatterplot_1_bjs827ee1uspace, ",1:35:00,1:35:00,,,,FALSE,1:35:00,P6
186,scatterplot,outlier (relationship),"Okay. And now I can see here that this person, for example. From Europe, age 17 was spending a lot in the shopping mall and that other people spend less. ",distribution  (continuous),TRUE,RELATIONSHIP,bjs827ee1u,space,Interactive,"Age_RoomService_scatterplot_with_pan_repeat_bjs827ee1uspace, ",1:37:27,1:37:27,,,,TRUE,1:37:27,P6
187,scatterplot,relationship cluster(s)/subgroup/ unexpected,"And now I want to see, like the ones who these ones who spent a lot of money in the in them all if they survived. okay, yeah, some of them survived some didn't.","relationship (multivariate)
",TRUE,RELATIONSHIP,bjs827ee1u,space,Interactive,"Age_ShoppingMall_scatterplot_bjs827ee1uspace, high_shopping_df, ",1:38:28,1:38:28,,,,TRUE,1:38:28,P6
188,dataframe,data orientation,Data frame. Got a bunch of columns. Don't know what they mean.,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"display_dataframe_3r2sh20eispace, ",1:08:19,1:08:19,,,,FALSE,1:08:19,P9
189,data_dictionary,variable metadata, Passenger Id. A unique id for each passenger.,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:08:24,1:08:24,,,,FALSE,1:08:24,P9
190,data_dictionary,data orientation,Great. We have survived.,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:13,1:09:13,,,,FALSE,1:09:13,P9
191,data_dictionary,variable metadata,"All right, passenger id unique id. Each id takes the forum for trailing, for leading G's and 2 trailing piece. Oh, no, it's actually those are the indicates the group passenger and P is the number within the group actually read instead of guessing, people in the group are often family members, but not all ways.",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:20,1:09:20,,,,FALSE,1:09:20,P9
192,data_dictionary,variable metadata,Home planet– The planet the passenger departed from typically their planet of permanent residence.,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:32,1:09:32,,,,FALSE,1:09:32,P9
193,data_dictionary,variable metadata,Cryosleep indicates whether the passenger elected to be put into suspended animation for the duration of the voyage. Those in cryosleep are confined to their cabinets,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:40,1:09:40,,,,FALSE,1:09:40,P9
194,data_dictionary,variable metadata,"the cabin number, where the passenger is staying. Some to the Deck side where it can either be P for port or Reported as S for starboard.",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:47,1:09:47,,,,FALSE,1:09:47,P9
195,data_dictionary,variable metadata,destination planet passengers debarking to,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:09:57,1:09:57,,,,FALSE,1:09:57,P9
196,data_dictionary,variable metadata,age of the passenger,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:10:00,1:10:00,,,,FALSE,1:10:00,P9
197,data_dictionary,variable metadata,Vip. did they pay extra money and therefore maybe get saved more?,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:10:03,1:10:03,,,,FALSE,1:10:03,P9
198,data_dictionary,variable metadata,"Room service, Food court, shopping was how much each person was billed at each of the main luxury amenities",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:10:13,1:10:13,,,TRUE,FALSE,1:10:13,P9
199,data_dictionary,variable metadata,"name, first and last names.",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:10:17,1:10:17,,,,FALSE,1:10:17,P9
200,data_dictionary,variable metadata,"perished. Whether they did or not true indicates, perished, and false indicates that the individual survived. Assuming that true and false indicates that they were rescued",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"data_dictionary, ",1:10:20,1:10:20,,,,FALSE,1:10:20,P9
201,profile,"distribution range [min, max]",So we have 4 – No – 3 different home planets and nulls.,distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:11:03,1:11:03,,,,FALSE,1:11:03,P9
202,profile,missing data,"Oh, there's some that say null rather than Nan's",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:11:18,1:11:18,,,,FALSE,1:11:18,P9
203,profile,"distribution shape [shape, skew, kurtosis]",Cabin. A lot of different cabins obviously.,distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:11:46,1:11:46,,,,FALSE,1:11:46,P9
204,profile,"distribution shape [shape, skew, kurtosis]","5,000 unique passenger ids. Presumably they're only in here once.",distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:11:50,1:11:50,,,,FALSE,1:11:50,P9
205,profile,"distribution shape [shape, skew, kurtosis]","VIP, room service, food court, shopping Mall. Most people didn't spend a lot. Some people spent a lot on those things.",distribution  (continuous),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:11:59,1:11:59,,,TRUE,FALSE,1:11:59,P9
206,profile,"distribution shape [shape, skew, kurtosis]","Oh, names. 4872. so some passenger ids are in there more than once.",distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:12:09,1:12:09,,,,FALSE,1:12:09,P9
207,profile,"distribution shape [shape, skew, kurtosis]","Oh, there are some people have the same name.",distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, unique_passenger_id_3r2sh20eispace, ",1:12:36,1:12:36,,,,FALSE,1:12:36,P9
208,profile,"distribution shape [shape, skew, kurtosis]",Survived. pretty even split between survived and didn't survive,distribution (categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:12:49,1:12:49,,,,FALSE,1:12:49,P9
209,profile,missing data,"There's null in Vip, so I'm just curious.",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:14:12,1:14:12,,,,FALSE,1:14:12,P9
210,dataframe_profile,missing data,"Okay, this makes sense. So all of these NaN's are nulls on the above correct",,FALSE,DATASET,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, vip_value_counts_3r2sh20eispace, null_rows_dataframe_3r2sh20eispace, ",1:14:57,1:14:57,,,,FALSE,1:14:57,P9
211,profile,missing data,[Talking about the profiler showing nulls] It was helpful if they show up. Most obscure it. So I'm glad they're at least displayed.,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:15:13,1:15:13,,,,FALSE,1:15:13,P9
212,profile,relationship existence / non-existence,"okay. So now I'm curious about the relationship between the rich people is obviously where my first thing goes, people were able to spend a lot of money, and whether or not they survived.",relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:15:19,1:15:19,TRUE,,,FALSE,1:15:19,P9
213,none,plan of action,"okay, so it's very new. So I feel like, I'm having trouble figure out exactly what I want to do, but I know that I want to do some stuff very officially.",,FALSE,ANALYSIS PROCESS,3r2sh20ei,Space,Interactive,,1:16:46,1:16:46,,,,FALSE,1:16:46,P9
214,profile,relationship existence / non-existence,"All right, I'm going to actually think rather than trying stuff. So what I want to do is ultimately I want to look at the section of people who lived. survived or not. by a bunch of these other things like Food Court,",relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Space,Interactive,"profile_dataframe_3r2sh20eispace, ",1:17:22,1:17:22,,,,FALSE,1:17:22,P9
215,python,variable metadata,survived is a Boolean,,FALSE,DATASET,3r2sh20ei,Space,Interactive,"dataframe_dtypes_3r2sh20eispace, ",1:30:32,1:30:32,,,,FALSE,1:30:32,P9
216,double-profiler,relationship faceted distribution characterization,"They [hovering over survived profiler in double profiler] spent significantly more seems plausible. Given the x-axis– which is, by the way, a bad way to do this– the people who survived seems like the richest people.",relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Space,Interactive,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",1:31:58,1:31:58,,,,FALSE,1:31:58,P9
217,double-profiler,relationship faceted distribution characterization,"We're still in that data set because the X-axis difference between room service. although for court that's not the same. Those deceased there are some higher values, shopping malls and higher values down there. So that idea is doesn't buy out looking ",relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Space,Interactive,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",1:32:14,1:32:14,,,TRUE,FALSE,1:32:14,P9
218,double-profiler,relationship faceted distribution characterization,"so I don't know what the Y-axis is here, if it's the same between top and bottom, but the relative distribution most people from Earth. But we had a lot of people from Europa who died relatively more.",relationship (categorical X categorical),FALSE,RELATIONSHIP,3r2sh20ei,Space,Interactive,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",1:32:24,1:32:24,,,,FALSE,1:32:24,P9
219,double-profiler,"distribution shape [shape, skew, kurtosis]","the relative distribution most people from Earth, but we had a lot of people from Europa who died relatively more.",relationship (categorical X categorical),FALSE,VARIABLE,3r2sh20ei,Space,Interactive,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",1:32:28,1:32:28,,,,FALSE,1:32:28,P9
220,profile,representation comment,"Is the range on these x-axis through this function? Are they like preset, or are they mapping to whatever the range of the data is?",,FALSE,ANALYSIS PROCESS,7382kwtue,Space,Static,"profiler_7382kwtuespace, ",0:14:48,0:14:48,,,,FALSE,0:14:48,P3
221,profile,relationship existence / non-existence,So my immediate thing that I want to check is whether or not the VIP Boolean values map at all to the Cryosleep ones.,relationship (categorical X categorical),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"profiler_2_7382kwtuespace, ",0:17:37,0:17:37,,,,FALSE,0:17:37,P3
222,scatterplot,missing data,"I wonder why, there aren't these null values? If doesn't seem to have a mapping for [refering to the pandas output of cryosleep_value_counts_2_7382kwtuespace]. 

Oh it It seems like they're in there there. Okay.",,FALSE,DATASET,7382kwtue,Space,Static,"VIP_Cryosleep_sizeCount_scatter_big_7382kwtuespace, cryosleep_value_counts_2_7382kwtuespace, ",0:19:30,0:19:30,,,,FALSE,0:19:30,P3
223,stripplot,relationship strength and/or direction,"there is not too much of a difference between, in this data set, of who survived depending on age, unless there were... well, it's hard to tell from this, because there there may have been more people in this age group ",relationship (categorical X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, df[df[VIP]==True], ",22:30,0:22:30,,,,FALSE,22:30,P3
224,stripplot,relationship strength and/or direction,"So it seems like a lot of young people did not survive who are not VIPs, but it's hard to tell the difference, because the number of people who are VIPs versus who were not is not that significant?","relationship (multivariate)
",FALSE,RELATIONSHIP,7382kwtue,Space,Static,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, ",0:23:08,0:23:08,,,,FALSE,0:23:08,P3
225,hist,"distribution shape [shape, skew, kurtosis]",Not that many VIPs [written].,distribution (categorical),FALSE,VARIABLE,7382kwtue,Space,Static,"colored_hist_big_7382kwtuespace, ",24:50:00,0:24:50,,,,FALSE,24:50:00,P3
226,hist,relationship range constriction,Age range of VIPs is limited relative to non-VIPs.,relationship (categorical X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"colored_hist_big_7382kwtuespace, ",24:55:00,0:24:55,,,,FALSE,24:55:00,P3
227,stripplot,relationship cluster(s)/subgroup/ unexpected,"Seems like a significant number of infants or young children did not survive, relative to teemagers and the rest. There seems to be this cluster of data points up here [references survived_age_VIP_stripplot_medium_tall_7382kwtuespace]",relationship (categorical X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, ",25:36:00,0:25:36,TRUE,,,FALSE,25:36:00,P3
228,columns,missing data,"actually, you know, 98% of the data being there, it's not bad at all.",,FALSE,DATASET,7382kwtue,Space,Static,"null_percent_printouts_7382kwtuespace, ",0:28:48,0:28:48,,,,FALSE,0:28:48,P3
229,columns,"distribution shape [shape, skew, kurtosis]",I wonder if that's like randomly distributed or not.,,FALSE,VARIABLE,7382kwtue,Space,Static,"null_percent_printouts_7382kwtuespace, ",0:29:00,0:29:00,,,,FALSE,0:29:00,P3
230,python,variable metadata,"Interesting, this is a number? [referring to room service printout]. ",,FALSE,DATASET,7382kwtue,Space,Static,"roomService_printout_7382kwtuespace, ",31:25:00,0:31:25,,,,FALSE,31:25:00,P3
231,python,variable metadata,Also a number [FoodCourt printout],,FALSE,DATASET,7382kwtue,Space,Static,"foodCourt_printout_7382kwtuespace, ",31:28:00,0:31:28,,,,FALSE,31:28:00,P3
232,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"So it's like according to last names, if there's like a range of ages which would imply like, You know, parents with a child or something like that, like their families on board.",relationship (categorical X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"color_lastName_scatterplot_7382kwtuespace, ",34:20:00,0:34:20,TRUE,,,FALSE,34:20:00,P3
233,scatterplot,variable metadata,[is this] Like a count of how many times someone got a room service or used the spa?,,FALSE,DATASET,7382kwtue,Space,Static,"age_roomservice_scatterplot_7382kwtuespace, ",34:56:00,0:34:56,,,TRUE,FALSE,34:56:00,P3
234,scatterplot,relationship strength and/or direction,That makes sense. Because if these are counts of how often people use the service. Then people who go to the food court probably are not using room service. ,relationship (continuous X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"foodcourt_roomservice_scatterplot_7382kwtuespace, ",35:26:00,0:35:26,TRUE,,,FALSE,35:26:00,P3
235,scatterplot,relationship strength and/or direction,then people who are at the food court are probably also at the Mall,relationship (continuous X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"foodcourt_roomservice_scatterplot_7382kwtuespace, ",35:37:00,0:35:37,,,,FALSE,35:37:00,P3
236,scatterplot,relationship strength and/or direction,Hmm. not as much so. [referring to foodcourt_shoppingmall_scatterplot_7382kwtuespace],relationship (continuous X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"foodcourt_shoppingmall_scatterplot_7382kwtuespace, ",35:52:00,0:35:52,,,,FALSE,35:52:00,P3
237,none,plan of action,"Now, I really quickly wanna check a little bit more about that higher rate of young people not surviving.",relationship (categorical X continuous),FALSE,ANALYSIS PROCESS,7382kwtue,Space,Static,,36:26:00,0:36:26,,,,FALSE,36:26:00,P3
238,python,relationship cluster(s)/subgroup/ unexpected,"Tried to check and see if familiies were assigned cabins, seems like they were. [written, not confirmed that the python code was used, but highly likely]",relationship (categorical X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,"cabin_lastname_value_counts_7382kwtuespace, ",40:48:00,0:40:48,TRUE,,,FALSE,40:48:00,P3
239,python,relationship strength and/or direction,"Tried to see if there was a relationship between eating at the Food Court vs. Room Service and surviving, but that dat doesn't seem to map for younger passenger. ","relationship (multivariate)
",FALSE,RELATIONSHIP,7382kwtue,Space,Static,"young_mean_foodcourt_7382kwtuespace,young_median_roomservice, ",41:10:00,0:41:10,,,,FALSE,41:10:00,P3
240,none,relationship strength and/or direction,Seems to not be a correlation between Room Serivce and Food Court usage which tracks,relationship (continuous X continuous),FALSE,RELATIONSHIP,7382kwtue,Space,Static,,41:25:00,0:41:25,,,,FALSE,41:25:00,P3
241,hist,relationship strength and/or direction,"So I would presume that there are families on board, then my young passengers probably are with their family, and if their families are eating at all, presumably they are either eating at the food court, or through room service. It may just be that they're all in Cryosleep, because I did not check that, but I'm assuming that they are not asleep– Thus they might have not been logged as eating there","relationship (multivariate)
",FALSE,RELATIONSHIP,7382kwtue,Space,Static,"young_foodcourt_hist_7382kwtuespace, cabin_lastname_value_counts_7382kwtuespace, young_mean_foodcourt_7382kwtuespace,young_median_roomservice, ",43:20:00,0:43:20,TRUE,,,FALSE,43:20:00,P3
242,profile,relationship strength and/or direction,seems like GDP maps pretty well to the happiness score.,relationship (continuous X continuous),TRUE,RELATIONSHIP,7382kwtue,Happiness,Interactive,"profile_df_7382kwtuehappiness, ",1:02:50,1:02:50,,,,TRUE,1:02:50,P3
243,profile,relationship strength and/or direction,so does social support. [maps pretty well to happiness score],relationship (continuous X continuous),TRUE,RELATIONSHIP,7382kwtue,Happiness,Interactive,"profile_df_7382kwtuehappiness, ",1:03:06,1:03:06,,,,TRUE,1:03:06,P3
