SID,PID,PNUM,Condition,Notebook,Timestamp,interaction_used,Data Type,Highlevel,Utterance Type,Final_Group,group,All representations,Flag Storytelling,Flag Correction,Flag Simultaneous Characterization,Utterance
163,bjs827ee1u,P6,Static,happiness,24:58:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"alx_scatter_year_happiness_bjs827ee1uhappiness, ",,,,"and it seems like in the in the early years, about 2,005. The happiness score was higher than then. Here in the later."
164,bjs827ee1u,P6,Static,happiness,25:44:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"alx_joint_year_logGDP_bjs827ee1uhappiness, ",,,,"here I can see that in 2,005 there is a higher score also, and here we have more low scores."
165,bjs827ee1u,P6,Static,happiness,25:53:00,FALSE,,RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"alx_joint_year_logGDP_bjs827ee1uhappiness, ",,,,"Yeah, I think there's some interesting outliers."
166,bjs827ee1u,P6,Static,happiness,0:27:54,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"alx_joint_happiness_logGDP_bjs827ee1uhappiness, ",,,,"Here I can find the correlation. The higher the GDP per Capita, the happier the people."
167,bjs827ee1u,P6,Static,happiness,32:41:00,FALSE,,ANALYSIS PROCESS,representation comment,scatterplot,scatterplot,"jointplot_2008_bjs827ee1uhappiness, ",,,,"And now for the year, 2008. We have something like this"
168,bjs827ee1u,P6,Static,happiness,35:52:00,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"jointplot_combo_5_2008_2014_bjs827ee1uhappiness, ",,,,"I can see that in 2,008 , which is on the left, and 2,014.So this one  [mouse over 2014] is a bit more tilted to the right.So I would say that overall people are a bit more happy."
169,bjs827ee1u,P6,Static,happiness,36:49:00,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"jointplot_combo_2008_2021_bjs827ee1uhappiness, ",,,,So I change the year to 2021 and there is also like this: this shift to the to the right.
170,bjs827ee1u,P6,Static,happiness,40:06:00,FALSE,,DATASET,missing data,dataframe,dataframe,"set_display_and_view_bjs827ee1uhappiness, ",,,,"And yeah, for example, here we see the first time that we have a value that is not a number. Here. We have another number. Yeah, there are quite a few places where there is not a number."
171,bjs827ee1u,P6,Static,happiness,40:36:00,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",dataframe,dataframe,"set_display_and_view_bjs827ee1uhappiness, ",,,,"Okay, we have different countries."
172,bjs827ee1u,P6,Static,happiness,42:02:00,FALSE,"relationship (multivariate)
",ANALYSIS PROCESS,representation comment,scatterplot,scatterplot,"filter_and_jointplot_3_2008_2021_bjs827ee1uhappiness, ",,TRUE,,"Today there's less, generosity. Oh Okay, to know that, Then I would have to like get the x-axis. so that it's not the same x-axis, and let's see if I can find a way to like get the X-axis this at the same level."
173,bjs827ee1u,P6,Interactive,space,1:15:05,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"I'm just reading through the variables to the things like, what what are the variables the like here? Now i'm like at the the age blah, blah, blah. Shopping mall. "
174,bjs827ee1u,P6,Interactive,space,1:16:13,FALSE,,DATASET,missing data,dataframe,dataframe,"display_df_bjs827ee1uspace, ",,,," Okay, first data quality, quite good, there's a few not a number values."
175,bjs827ee1u,P6,Interactive,space,1:17:12,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship existence / non-existence,dataframe,dataframe,"display_df_bjs827ee1uspace, ",,,,"I think I will start with the with the scatterplot and I will compare, just randomly, the home planet with the cryo-sleep. I guess it won't work because it's a boolean thing. But oh, okay. Actually, it works."
176,bjs827ee1u,P6,Interactive,space,1:18:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship existence / non-existence,scatterplot,scatterplot,"Age_CryoSleep_scatterplot_bjs827ee1uspace, ",,,,"Okay, that Doesn't tell me too much. I have, like few people in in cryo sleep over all ages."
177,bjs827ee1u,P6,Interactive,space,1:18:08,TRUE,,DATASET,missing data,scatterplot,scatterplot,"Age_CryoSleep_scatterplot_bjs827ee1uspace, ",,,,there is actually a third option which I don't understand true false and whatever.
178,bjs827ee1u,P6,Interactive,space,1:19:40,FALSE,,DATASET,data orientation,dataframe,dataframe,"display_df_bjs827ee1uspace, ",,,,"okay, I have Ids like they don't give me too much information."
179,bjs827ee1u,P6,Interactive,space,1:20:10,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship strength and/or direction,dataframe,dataframe,"display_df_bjs827ee1uspace, ",TRUE,,TRUE,"I should like to look for something that seems to be unfair. So, for example, maybe people were discriminated by age by vip or these factors."
180,bjs827ee1u,P6,Interactive,space,1:24:47,TRUE,,ANALYSIS PROCESS,representation comment,scatterplot,scatterplot,"VIP_survived_scatterplot_4_bjs827ee1uspace, ",,,,And the scatterplotâ--  Doesn't help me too much in that.
181,bjs827ee1u,P6,Interactive,space,1:26:51,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship existence / non-existence,python,python,"count_survived_bjs827ee1uspace, ",,,,"Okay, now I want to see who survived who are VIPs."
182,bjs827ee1u,P6,Interactive,space,1:28:20,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"count_filtered_df1_bjs827ee1uspace, ",,,,And so 69 survived who are VIPs. 
183,bjs827ee1u,P6,Interactive,space,1:30:01,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"count_filtered_df1_bjs827ee1uspace, VIP_survived_filter2_len_bjs827ee1uspace, ",,,,"So 69 VIPs survived, and 2,000 or so did not survived."
184,bjs827ee1u,P6,Interactive,space,1:30:28,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"count_vip_true_bjs827ee1uspace, count_vip_false_bjs827ee1uspace, ",,,,"out there in total 5,000 VIPs and 5,000 non vips"
185,bjs827ee1u,P6,Interactive,space,1:35:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship range constriction,scatterplot,scatterplot,"Age_RoomService_scatterplot_1_bjs827ee1uspace, ",,,,So there are a lot of like very young people who don't get room service.
186,bjs827ee1u,P6,Interactive,space,1:37:27,TRUE,distribution  (continuous),RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"Age_RoomService_scatterplot_with_pan_repeat_bjs827ee1uspace, ",,,,"Okay. And now I can see here that this person, for example. From Europe, age 17 was spending a lot in the shopping mall and that other people spend less. "
187,bjs827ee1u,P6,Interactive,space,1:38:28,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,scatterplot,scatterplot,"Age_ShoppingMall_scatterplot_bjs827ee1uspace, high_shopping_df, ",,,,"And now I want to see, like the ones who these ones who spent a lot of money in the in them all if they survived. okay, yeah, some of them survived some didn't."
188,3r2sh20ei,P9,Interactive,Space,1:08:19,FALSE,,DATASET,data orientation,dataframe,dataframe,"display_dataframe_3r2sh20eispace, ",,,,Data frame. Got a bunch of columns. Don't know what they mean.
189,3r2sh20ei,P9,Interactive,Space,1:08:24,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,, Passenger Id. A unique id for each passenger.
190,3r2sh20ei,P9,Interactive,Space,1:09:13,FALSE,,DATASET,data orientation,data_dictionary,data_dictionary,"data_dictionary, ",,,,Great. We have survived.
191,3r2sh20ei,P9,Interactive,Space,1:09:20,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"All right, passenger id unique id. Each id takes the forum for trailing, for leading G's and 2 trailing piece. Oh, no, it's actually those are the indicates the group passenger and P is the number within the group actually read instead of guessing, people in the group are often family members, but not all ways."
192,3r2sh20ei,P9,Interactive,Space,1:09:32,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,Home planetâ--  The planet the passenger departed from typically their planet of permanent residence.
193,3r2sh20ei,P9,Interactive,Space,1:09:40,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,Cryosleep indicates whether the passenger elected to be put into suspended animation for the duration of the voyage. Those in cryosleep are confined to their cabinets
194,3r2sh20ei,P9,Interactive,Space,1:09:47,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"the cabin number, where the passenger is staying. Some to the Deck side where it can either be P for port or Reported as S for starboard."
195,3r2sh20ei,P9,Interactive,Space,1:09:57,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,destination planet passengers debarking to
196,3r2sh20ei,P9,Interactive,Space,1:10:00,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,age of the passenger
197,3r2sh20ei,P9,Interactive,Space,1:10:03,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,Vip. did they pay extra money and therefore maybe get saved more?
198,3r2sh20ei,P9,Interactive,Space,1:10:13,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,TRUE,"Room service, Food court, shopping was how much each person was billed at each of the main luxury amenities"
199,3r2sh20ei,P9,Interactive,Space,1:10:17,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"name, first and last names."
200,3r2sh20ei,P9,Interactive,Space,1:10:20,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"perished. Whether they did or not true indicates, perished, and false indicates that the individual survived. Assuming that true and false indicates that they were rescued"
201,3r2sh20ei,P9,Interactive,Space,1:11:03,FALSE,distribution (categorical),VARIABLE,"distribution range [min, max]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,So we have 4 â--  No â--  3 different home planets and nulls.
202,3r2sh20ei,P9,Interactive,Space,1:11:18,FALSE,,DATASET,missing data,profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,"Oh, there's some that say null rather than Nan's"
203,3r2sh20ei,P9,Interactive,Space,1:11:46,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,Cabin. A lot of different cabins obviously.
204,3r2sh20ei,P9,Interactive,Space,1:11:50,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,"5,000 unique passenger ids. Presumably they're only in here once."
205,3r2sh20ei,P9,Interactive,Space,1:11:59,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,TRUE,"VIP, room service, food court, shopping Mall. Most people didn't spend a lot. Some people spent a lot on those things."
206,3r2sh20ei,P9,Interactive,Space,1:12:09,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,"Oh, names. 4872. so some passenger ids are in there more than once."
207,3r2sh20ei,P9,Interactive,Space,1:12:36,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, unique_passenger_id_3r2sh20eispace, ",,,,"Oh, there are some people have the same name."
208,3r2sh20ei,P9,Interactive,Space,1:12:49,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,Survived. pretty even split between survived and didn't survive
209,3r2sh20ei,P9,Interactive,Space,1:14:12,FALSE,,DATASET,missing data,profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,"There's null in Vip, so I'm just curious."
210,3r2sh20ei,P9,Interactive,Space,1:14:57,FALSE,,DATASET,missing data,dataframe_profile,dataframe_profile,"profile_dataframe_3r2sh20eispace, vip_value_counts_3r2sh20eispace, null_rows_dataframe_3r2sh20eispace, ",,,,"Okay, this makes sense. So all of these NaN's are nulls on the above correct"
211,3r2sh20ei,P9,Interactive,Space,1:15:13,FALSE,,DATASET,missing data,profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,[Talking about the profiler showing nulls] It was helpful if they show up. Most obscure it. So I'm glad they're at least displayed.
212,3r2sh20ei,P9,Interactive,Space,1:15:19,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship existence / non-existence,profile,profile,"profile_dataframe_3r2sh20eispace, ",TRUE,,,"okay. So now I'm curious about the relationship between the rich people is obviously where my first thing goes, people were able to spend a lot of money, and whether or not they survived."
213,3r2sh20ei,P9,Interactive,Space,1:16:46,FALSE,,ANALYSIS PROCESS,plan of action,none,none,,,,,"okay, so it's very new. So I feel like, I'm having trouble figure out exactly what I want to do, but I know that I want to do some stuff very officially."
214,3r2sh20ei,P9,Interactive,Space,1:17:22,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship existence / non-existence,profile,profile,"profile_dataframe_3r2sh20eispace, ",,,,"All right, I'm going to actually think rather than trying stuff. So what I want to do is ultimately I want to look at the section of people who lived. survived or not. by a bunch of these other things like Food Court,"
215,3r2sh20ei,P9,Interactive,Space,1:30:32,FALSE,,DATASET,variable metadata,python,python,"dataframe_dtypes_3r2sh20eispace, ",,,,survived is a Boolean
216,3r2sh20ei,P9,Interactive,Space,1:31:58,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship faceted distribution characterization,double-profiler,double-profiler,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",,,,"They [hovering over survived profiler in double profiler] spent significantly more seems plausible. Given the x-axisâ--  which is, by the way, a bad way to do thisâ--  the people who survived seems like the richest people."
217,3r2sh20ei,P9,Interactive,Space,1:32:14,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship faceted distribution characterization,double-profiler,double-profiler,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",,,TRUE,"We're still in that data set because the X-axis difference between room service. although for court that's not the same. Those deceased there are some higher values, shopping malls and higher values down there. So that idea is doesn't buy out looking "
218,3r2sh20ei,P9,Interactive,Space,1:32:24,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship faceted distribution characterization,double-profiler,double-profiler,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",,,,"so I don't know what the Y-axis is here, if it's the same between top and bottom, but the relative distribution most people from Earth. But we had a lot of people from Europa who died relatively more."
219,3r2sh20ei,P9,Interactive,Space,1:32:28,FALSE,relationship (categorical X categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",double-profiler,double-profiler,"profile_survived-2_3r2sh20eispace, profile_deceased_3r2sh20eispace, ",,,,"the relative distribution most people from Earth, but we had a lot of people from Europa who died relatively more."
220,7382kwtue,P3,Static,Space,0:14:48,FALSE,,ANALYSIS PROCESS,representation comment,profile,profile,"profiler_7382kwtuespace, ",,,,"Is the range on these x-axis through this function? Are they like preset, or are they mapping to whatever the range of the data is?"
221,7382kwtue,P3,Static,Space,0:17:37,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship existence / non-existence,profile,profile,"profiler_2_7382kwtuespace, ",,,,So my immediate thing that I want to check is whether or not the VIP Boolean values map at all to the Cryosleep ones.
222,7382kwtue,P3,Static,Space,0:19:30,FALSE,,DATASET,missing data,scatterplot,scatterplot,"VIP_Cryosleep_sizeCount_scatter_big_7382kwtuespace, cryosleep_value_counts_2_7382kwtuespace, ",,,,"I wonder why, there aren't these null values? If doesn't seem to have a mapping for [refering to the pandas output of cryosleep_value_counts_2_7382kwtuespace]. 

Oh it It seems like they're in there there. Okay."
223,7382kwtue,P3,Static,Space,22:30,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship strength and/or direction,stripplot,stripplot,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, df[df[VIP]==True], ",,,,"there is not too much of a difference between, in this data set, of who survived depending on age, unless there were... well, it's hard to tell from this, because there there may have been more people in this age group "
224,7382kwtue,P3,Static,Space,0:23:08,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,stripplot,stripplot,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, ",,,,"So it seems like a lot of young people did not survive who are not VIPs, but it's hard to tell the difference, because the number of people who are VIPs versus who were not is not that significant?"
225,7382kwtue,P3,Static,Space,24:50:00,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",hist,hist,"colored_hist_big_7382kwtuespace, ",,,,Not that many VIPs [written].
226,7382kwtue,P3,Static,Space,24:55:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship range constriction,hist,hist,"colored_hist_big_7382kwtuespace, ",,,,Age range of VIPs is limited relative to non-VIPs.
227,7382kwtue,P3,Static,Space,25:36:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,stripplot,stripplot,"survived_age_VIP_stripplot_medium_tall_7382kwtuespace, ",TRUE,,,"Seems like a significant number of infants or young children did not survive, relative to teemagers and the rest. There seems to be this cluster of data points up here [references survived_age_VIP_stripplot_medium_tall_7382kwtuespace]"
228,7382kwtue,P3,Static,Space,0:28:48,FALSE,,DATASET,missing data,columns,columns,"null_percent_printouts_7382kwtuespace, ",,,,"actually, you know, 98% of the data being there, it's not bad at all."
229,7382kwtue,P3,Static,Space,0:29:00,FALSE,,VARIABLE,"distribution shape [shape, skew, kurtosis]",columns,columns,"null_percent_printouts_7382kwtuespace, ",,,,I wonder if that's like randomly distributed or not.
230,7382kwtue,P3,Static,Space,31:25:00,FALSE,,DATASET,variable metadata,python,python,"roomService_printout_7382kwtuespace, ",,,,"Interesting, this is a number? [referring to room service printout]. "
231,7382kwtue,P3,Static,Space,31:28:00,FALSE,,DATASET,variable metadata,python,python,"foodCourt_printout_7382kwtuespace, ",,,,Also a number [FoodCourt printout]
232,7382kwtue,P3,Static,Space,34:20:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,Multi-view Chart,Multi-view Chart,"color_lastName_scatterplot_7382kwtuespace, ",TRUE,,,"So it's like according to last names, if there's like a range of ages which would imply like, You know, parents with a child or something like that, like their families on board."
233,7382kwtue,P3,Static,Space,34:56:00,FALSE,,DATASET,variable metadata,scatterplot,scatterplot,"age_roomservice_scatterplot_7382kwtuespace, ",,,TRUE,[is this] Like a count of how many times someone got a room service or used the spa?
234,7382kwtue,P3,Static,Space,35:26:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"foodcourt_roomservice_scatterplot_7382kwtuespace, ",TRUE,,,That makes sense. Because if these are counts of how often people use the service. Then people who go to the food court probably are not using room service. 
235,7382kwtue,P3,Static,Space,35:37:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"foodcourt_roomservice_scatterplot_7382kwtuespace, ",,,,then people who are at the food court are probably also at the Mall
236,7382kwtue,P3,Static,Space,35:52:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"foodcourt_shoppingmall_scatterplot_7382kwtuespace, ",,,,Hmm. not as much so. [referring to foodcourt_shoppingmall_scatterplot_7382kwtuespace]
237,7382kwtue,P3,Static,Space,36:26:00,FALSE,relationship (categorical X continuous),ANALYSIS PROCESS,plan of action,none,none,,,,,"Now, I really quickly wanna check a little bit more about that higher rate of young people not surviving."
238,7382kwtue,P3,Static,Space,40:48:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,python,python,"cabin_lastname_value_counts_7382kwtuespace, ",TRUE,,,"Tried to check and see if familiies were assigned cabins, seems like they were. [written, not confirmed that the python code was used, but highly likely]"
239,7382kwtue,P3,Static,Space,41:10:00,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,python,python,"young_mean_foodcourt_7382kwtuespace,young_median_roomservice, ",,,,"Tried to see if there was a relationship between eating at the Food Court vs. Room Service and surviving, but that dat doesn't seem to map for younger passenger. "
240,7382kwtue,P3,Static,Space,41:25:00,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,none,none,,,,,Seems to not be a correlation between Room Serivce and Food Court usage which tracks
241,7382kwtue,P3,Static,Space,43:20:00,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,hist,hist,"young_foodcourt_hist_7382kwtuespace, cabin_lastname_value_counts_7382kwtuespace, young_mean_foodcourt_7382kwtuespace,young_median_roomservice, ",TRUE,,,"So I would presume that there are families on board, then my young passengers probably are with their family, and if their families are eating at all, presumably they are either eating at the food court, or through room service. It may just be that they're all in Cryosleep, because I did not check that, but I'm assuming that they are not asleepâ--  Thus they might have not been logged as eating there"
242,7382kwtue,P3,Interactive,Happiness,1:02:50,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"profile_df_7382kwtuehappiness, ",,,,seems like GDP maps pretty well to the happiness score.
243,7382kwtue,P3,Interactive,Happiness,1:03:06,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"profile_df_7382kwtuehappiness, ",,,,so does social support. [maps pretty well to happiness score]
244,7382kwtue,P3,Interactive,Happiness,1:05:02,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,scatterplot,scatterplot,"corruption_confidence_scatter_brush_sized_7382kwtuehappiness, ",,,,"So just trying to see the correlation between confidence in the government and corruption, and it seems like there is an interesting like clump of data with where corruption is rated the highly, but as is confidence in government. So I'm little curious about that."
245,7382kwtue,P3,Interactive,Happiness,1:09:07,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"corruption_confidence_hover_pan_zoom_color_freedomQ_separate_encoding_scatter_bigger_7382kwtuehappiness, ",,,,Seems like there's an interesting mix there. But I don't know if that's the determining factor. [freedom and the relationship between highly corruption and highly confident in government entities].
246,7382kwtue,P3,Interactive,Happiness,1:09:15,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"corruption_confidence_hover_pan_zoom_color_generosityQ_separate_encoding_scatter_7382kwtuehappiness, ",,,,I need to see if generosity correlated with corruption. Actually might like a little bit. What else do we have that might be a factor?
247,7382kwtue,P3,Interactive,Happiness,1:09:55,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_2_7382kwtuehappiness, ",,,,"actually, let me see if positive effect correlates generally with how correct do you think?"
248,7382kwtue,P3,Interactive,Happiness,1:10:11,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"corruption_confidence_hover_pan_zoom_color_positive_affectQ_separate_encoding_scatter_3_7382kwtuehappiness, ",,,,And confidence in government is higher? Well. seems like that doesn't really correlate.
249,7382kwtue,P3,Interactive,Happiness,1:10:43,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship form (linearity/non-linearity),scatterplot,scatterplot,"positiveAffect_corruption_hover_pan_zoom_encode_scatter_7382kwtuehappiness, ",,,,That's a weird dispersion [gestures to cluster with a low corruption and high positive affect that is distinct from the general trend]
250,7382kwtue,P3,Interactive,Happiness,1:12:54,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,scatterplot,scatterplot,"positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_7382kwtuehappiness, ",TRUE,,,"It seems like positive affect and corruption have sort of an odd relationship. It seems like most people in the data have a higher estimation of the corruption in their country. People who have a largely positive aspect to have a low estimation of of of corruption in their country. But there are these like 2 sort of separate lobes for people who have positive affect. So i'm trying to see what accounts for the difference between both of people down here and close to people up here. I was wondering if it's just a factor of like. The people down here are positive, but also enjoy like better Gdp than the people up here."
251,7382kwtue,P3,Interactive,Happiness,1:14:48,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,scatterplot,scatterplot,"positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness, ",,,,"it seems like there is some GDP correlation, but like this dark blue versus this light blue, is not telling me as much as I would like."
252,7382kwtue,P3,Interactive,Happiness,1:15:16,TRUE,"relationship (multivariate)
",ANALYSIS PROCESS,representation comment,scatterplot,scatterplot,"positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness, ",,,,"I am just as a way of eliminating like what the most significant, like tertiary variable might be"
253,7382kwtue,P3,Interactive,Happiness,1:17:45,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship existence / non-existence,scatterplot,scatterplot,"positiveAffect_corruption_hover_pan_zoom_encode_color_alt_logGDP_scatter_3_7382kwtuehappiness, ",,,,Hmm. Maybe the easiest thing to do here is year?
254,7382kwtue,P3,Interactive,Happiness,1:20:53,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,Multi-view Chart,Multi-view Chart,"affect_corruption_brush_7382kwtuehappiness, country_count_plot_7382kwtuehappiness, ",,,,"so positive effect and low corruption: Denmark, Sweden, New Zealand, Finland. Some like those countries seem to have interesting relationship. as do Canada, Netherlands."
255,7382kwtue,P3,Interactive,Happiness,1:21:19,TRUE,"relationship (multivariate)
",RELATIONSHIP,outlier (relationship),Multi-view Chart,Multi-view Chart,"affect_corruption_brush_7382kwtuehappiness, country_count_plot_7382kwtuehappiness, ",,,,Rwanda is interesting.
256,7382kwtue,P3,Interactive,Happiness,1:22:16,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"socialSupport_freedom_posAffect_7382kwtuehappiness, ",,,,There's a correlation. [Referring to socialSupport and Freedom].
257,7382kwtue,P3,Interactive,Happiness,1:24:13,FALSE,,DATASET,data orientation,python,python,"create_aretheypositive_col_axis_7382kwtuehappiness, ",,,,"I think it's by country right? [Referring to pandas code to split each row into ""more positive affect or more negative affect"""
258,7382kwtue,P3,Interactive,Happiness,1:24:18,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"socialSupport_freedom_aretheypositive_7382kwtuehappiness, create_aretheypositive_col_axis_7382kwtuehappiness, ",,,TRUE,"So if the positive effect of a country of people in the country is greater than the negative effect or positive effect score. if we like, cleanly use that to mark them as as positive or negative, does that map them to outcomes such as social support or freedom?"
259,7382kwtue,P3,Interactive,Happiness,1:26:40,FALSE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,none,none,,,,,"So now i'm trying to see if there's a relationship over time for positive effect of the country, or if that's something that just like we made static."
260,4728sjuiz,P10,Static,Happiness,19:15,FALSE,,DATASET,data orientation,dataframe,dataframe,"df_head_4728sjuizhappiness, ",,,,So it's very similar to the the data frame in the last notebook  in different years and stuff
261,4728sjuiz,P10,Static,Happiness,19:43,FALSE,,DATASET,missing data,none,none,"notebook_text, ",,,,"for data quality, I guess one thing I'd be curious about is whether there are there any NA's"
262,4728sjuiz,P10,Static,Happiness,20:42,FALSE,,DATASET,missing data,python,python,"df_nullcount_cols_4728sjuizhappiness, ",,,,so it looks like where there are NA values kind of depends on the variable that we're looking at
263,4728sjuiz,P10,Static,Happiness,20:59,FALSE,,DATASET,missing data,none,none,,,,,"I like to do in this sort of case where there are all these zeros, and I can't. First, I I don't want to print all these numbers. I might create a scatter plot of this information so that could give me an idea of, you know, if I put all of these values along the line, how many of the variables are NA?"
